time, x, y, z, visx, visy, visz, mov_angle, nail_angle, fx, fy, fz, score, scoring_enabled
0.000999928,0.0355554,0.0293237,-0.133274,0.0988696,0.0990317,-0.13305,0,210,-2.99789,-2.66901,-17.2466,0,0
0.0189996,0.0354111,0.0291703,-0.133426,0.0986317,0.098812,-0.13305,0,210,-1.64291,-2.09528,-13.9995,0,0
0.0349998,0.0351169,0.0288724,-0.133721,0.0981467,0.0983855,-0.13305,0,210,-1.4476,-1.32624,-15.6352,0,0
0.0509996,0.0347649,0.0285127,-0.134056,0.0975664,0.0978705,-0.13305,0,210,-1.00814,-0.947818,-14.1948,0,0
0.0679998,0.0343045,0.0280797,-0.134478,0.0968074,0.0972505,-0.13305,0,210,-1.48422,-0.447294,-17.0268,0,0
0.0839996,0.0337737,0.0276257,-0.135077,0.0959324,0.0966004,-0.13305,0,210,-1.49642,-0.386164,-16.2212,0,0
0.101,0.0331574,0.0271456,-0.135174,0.0949164,0.095913,-0.13305,0,210,-0.617531,-0.434946,-23.5942,0,0
0.118,0.0323758,0.0266085,-0.135103,0.0936278,0.095144,-0.13305,0,210,-3.21763,-0.825555,-20.1762,0,0
0.135,0.0314595,0.0260077,-0.135082,0.0921173,0.0942838,-0.13305,0,210,-2.36314,-1.21616,-21.0551,0,0
0.152,0.0303822,0.0253561,-0.135062,0.0903413,0.0933508,-0.13305,0,210,-0.239105,-1.59458,-15.9282,0,0
0.169,0.0292164,0.0246265,-0.135006,0.0884194,0.0923061,-0.13305,0,210,-1.33772,-1.46031,-14.268,0,0
0.186,0.0280279,0.0238182,-0.134996,0.0864601,0.0911488,-0.13305,0,210,-1.50862,-1.1063,-14.4878,0,0
0.203,0.0266695,0.0229167,-0.135011,0.0842207,0.089858,-0.13305,0,210,-2.31429,-0.556985,-16.9048,0,0
0.22,0.0252041,0.0219883,-0.135042,0.0818049,0.0885287,-0.13305,0,210,-3.26643,0.114468,-17.979,0,0
0.237,0.0235287,0.0210609,-0.135047,0.0790429,0.0872008,-0.13305,0,210,-2.6927,0.456264,-16.978,0,0
0.253,0.0216983,0.0201641,-0.135042,0.0760254,0.0859168,-0.13305,208.974,210,-3.65706,-0.97196,-19.0532,0,0
0.27,0.0197196,0.0192545,-0.135026,0.0727634,0.0846144,-0.13305,206.494,210,-1.00813,-1.97295,-15.2202,0,0
0.287,0.0176245,0.0182944,-0.135026,0.0693095,0.0832397,-0.13305,205.106,210,0.615405,0.297559,-17.5395,0,0
0.303,0.0154792,0.0172657,-0.135037,0.0657728,0.0817668,-0.13305,204.988,210,-1.81379,-1.48467,-15.0249,0,0
0.319,0.0132104,0.0160714,-0.135052,0.0620326,0.0800568,-0.13305,206.059,210,0.969415,0.566108,-20.6645,0,0
0.336,0.0108974,0.0147385,-0.135062,0.0582195,0.0781483,-0.13305,207.861,210,-2.25323,-0.82549,-23.7651,0,0
0.352,0.00846947,0.0132117,-0.135062,0.0542169,0.0759622,-0.13305,210.042,210,-1.1546,-5.39091,-16.2456,0,0
0.368,0.00599961,0.0115566,-0.135052,0.0501452,0.0735924,-0.13305,212.051,210,-0.629703,-0.947554,-17.6372,0,0
0.385,0.00340698,0.00968441,-0.135037,0.0458711,0.0709118,-0.13305,214.009,210,-0.812805,-2.18046,-16.5385,0,0
0.401,0.000774396,0.00766934,-0.135031,0.0415312,0.0680266,-0.13305,215.763,210,1.32343,-0.898726,-17.271,0,0
0.42,-0.00215139,0.00527539,-0.135031,0.0367078,0.0645989,-0.13305,217.618,210,-2.46075,-0.727824,-15.1469,0,0
0.438,-0.00512258,0.00263655,-0.135042,0.0318097,0.0608205,-0.13305,219.566,210,0.932796,-2.85185,-18.9555,0,0
0.456,-0.00796544,-6.2513e-05,-0.135052,0.027123,0.0569559,-0.13305,221.498,210,0.261412,-1.2039,-16.3432,0,0
0.472,-0.0106048,-0.0027773,-0.135052,0.0227719,0.0530689,-0.13305,223.609,210,1.2868,-3.18143,-18.7114,0,0
0.489,-0.0132559,-0.00563601,-0.135057,0.0184014,0.0489757,-0.13305,225.486,210,0.578795,-3.87723,-22.0073,0,0
0.505,-0.0158707,-0.00863263,-0.135052,0.0140908,0.0446851,-0.13305,227.311,210,-1.13019,-2.11942,-18.8091,0,0
0.522,-0.0184058,-0.0117461,-0.135052,0.00991153,0.0402272,-0.13305,228.983,210,2.45867,-1.59451,-18.1499,0,0
0.539,-0.0209287,-0.0149373,-0.135052,0.00575239,0.035658,-0.13305,230.48,210,0.139317,-0.349388,-16.4409,0,0
0.555,-0.0233585,-0.0181679,-0.135047,0.00174673,0.0310323,-0.13305,231.858,210,1.64075,-0.422615,-16.7583,0,0
0.572,-0.0257213,-0.0214299,-0.135042,-0.00214848,0.0263617,-0.13305,232.931,210,0.944954,-0.154017,-16.6118,0,0
0.589,-0.0280068,-0.0247008,-0.135031,-0.00591626,0.0216784,-0.13305,234.06,210,1.16467,-0.593402,-16.7094,0,0
0.604,-0.0301744,-0.0278926,-0.135031,-0.00948967,0.0171083,-0.13305,234.974,210,0.127037,-0.00742457,-16.8071,0,0
0.622,-0.0325367,-0.0313619,-0.135031,-0.0133841,0.0121409,-0.13305,235.542,210,-0.80068,0.0536056,-17.4907,0,0
0.634,-0.0340743,-0.0335548,-0.135037,-0.0159189,0.00900108,-0.13305,235.578,210,-1.0082,0.493035,-18.1987,0,0
0.653,-0.0368266,-0.0373104,-0.135047,-0.0204562,0.00362375,-0.13305,234.765,210,-1.71621,1.38414,-18.1743,0,0
0.67,-0.0394161,-0.040571,-0.135047,-0.0247251,-0.00104484,-0.13305,233.239,210,-1.55752,2.0067,-17.0512,0,0
0.687,-0.0419086,-0.0434502,-0.135047,-0.0288342,-0.00516733,-0.13305,231.631,210,-1.56972,1.22545,-17.3198,0,0
