time, x, y, z, visx, visy, visz, mov_angle, nail_angle, fx, fy, fz, score, scoring_enabled
0,0.0360353,0.0300286,-0.132288,0.0996607,-0.0999591,-0.13304,0,110,-0.879734,1.05074,-7.92046,0,0
0.0169997,0.0360266,0.0300919,-0.131928,0.0996464,-0.0998684,-0.13304,0,110,-3.63852,1.52681,-6.57769,0,0
0.0339999,0.0359074,0.0302218,-0.131206,0.0994499,-0.0996824,-0.13304,0,110,-0.269366,1.07515,-8.28668,0,0
0.052,0.035697,0.0304329,-0.130114,0.099103,-0.0993802,-0.13304,0,110,-1.34357,-0.768127,-19.7369,0,0
0.0689998,0.0354596,0.0306697,-0.128971,0.0987117,-0.0990411,-0.13304,0,110,-1.16046,0.232857,-14.4146,0,1
0.0879998,0.0351106,0.0309862,-0.127808,0.0981363,-0.0985879,-0.13304,0,110,-0.904106,0.928647,-13.9996,0,1
0.107,0.0347255,0.0313957,-0.126558,0.0975015,-0.0980016,-0.13304,0,110,0.707222,0.953052,-8.09136,0,1
0.124,0.0343781,0.0318476,-0.125065,0.0969287,-0.0973546,-0.13304,0,110,0.560721,0.818762,-10.7281,0,1
0.141,0.0340832,0.0323522,-0.123353,0.0964426,-0.0966321,-0.13304,0,110,-0.67216,1.22159,-10.9966,0,1
0.159,0.0337149,0.0329651,-0.121559,0.0958354,-0.0957545,-0.13304,0,110,-1.55106,0.794344,-13.1695,0,1
0.176,0.0333377,0.0336266,-0.119842,0.0952136,-0.0948074,-0.13304,0,110,-0.0617675,0.672274,-10.5328,0,1
0.193,0.0328908,0.034328,-0.11812,0.0944768,-0.0938031,-0.13304,0,110,0.304456,1.03848,-8.23785,0,1
0.211,0.0324854,0.035081,-0.116429,0.0938085,-0.0927249,-0.13304,0,110,1.25655,0.476914,-9.60504,0,1
0.228,0.0321171,0.0358716,-0.114666,0.0932014,-0.0915929,-0.13304,0,110,1.01241,0.31817,-12.315,0,1
0.245,0.03184,0.0366494,-0.112969,0.0927445,-0.0904793,-0.13304,0,110,0.841508,0.415722,-15.0738,0,1
0.263,0.0316483,0.0375005,-0.111272,0.0924285,-0.0892607,-0.13304,0,110,1.39082,0.317983,-15.0005,0,1
0.281,0.0315451,0.0383756,-0.109692,0.0922584,-0.0880077,-0.13304,0,110,1.95235,0.867272,-13.4136,0,1
0.292,0.031519,0.0389439,-0.108722,0.0922154,-0.087194,-0.13304,0,110,1.87911,0.989342,-13.1695,0,1
0.309,0.0316492,0.0398681,-0.107229,0.09243,-0.0858707,-0.13304,0,110,0.878122,1.23348,-14.5123,0,1
0.328,0.0319013,0.0409745,-0.105694,0.0928456,-0.0842865,-0.13304,0,110,1.1955,1.81942,-15.8794,0,1
0.345,0.0321769,0.0421431,-0.104424,0.0932999,-0.0826133,-0.13304,0,110,0.231106,2.18563,-15.5132,0,1
0.363,0.0325156,0.0434455,-0.103348,0.0938583,-0.0807485,-0.13304,0,110,0.865859,2.51522,-14.9029,0,1
0.38,0.0328982,0.0449174,-0.102377,0.094489,-0.078641,-0.13304,0,110,1.51283,2.89364,-14.9029,0,1
0.397,0.0333629,0.0466313,-0.101493,0.0952551,-0.076187,-0.13304,0,110,1.32973,3.02792,-16.3921,0,1
0.414,0.0339147,0.0485074,-0.100843,0.0961648,-0.0735008,-0.13304,0,110,1.34193,2.77157,-17.2955,0,1
0.431,0.0345758,0.0505129,-0.100472,0.0972547,-0.0706293,-0.13304,0,110,1.78139,2.8204,-16.7095,0,1
0.448,0.0353729,0.052776,-0.10032,0.0985687,-0.0673889,-0.13304,0,110,2.1476,2.56405,-15.6353,0,1
0.465,0.0362339,0.0551273,-0.100315,0.0999881,-0.0640223,-0.13304,0,110,1.20766,2.60067,-16.0503,0,1
0.482,0.03727,0.0578058,-0.100493,0.101696,-0.0601872,-0.13304,0,110,1.72035,2.55184,-16.3433,0,1
0.5,0.038403,0.0606509,-0.10097,0.103564,-0.0561135,-0.13304,0,110,0.670544,2.69833,-18.272,0,1
0.52,0.0397625,0.0640193,-0.101884,0.105805,-0.0512906,-0.13304,0,110,0.0967671,1.88046,-18.5162,0,1
0.537,0.0410367,0.0673047,-0.10288,0.107906,-0.0465865,-0.13304,0,110,-0.562413,1.91708,-11.3628,0,1
0.555,0.0423366,0.0705706,-0.103632,0.110049,-0.0419103,-0.13304,0,110,9.42295,3.18661,-11.2652,0,1
0.572,0.0434948,0.0739586,-0.104221,0.111958,-0.0370593,-0.13304,0,110,-3.39443,1.66072,-13.4625,0,1
0.589,0.0446754,0.0775618,-0.104907,0.113904,-0.0319002,-0.13304,0,110,-4.5541,0.867267,-18.6627,0,1
0.607,0.0455003,0.0812039,-0.105898,0.115264,-0.0266853,-0.13304,0,110,-4.30996,0.0981897,-13.438,0,1
0.624,0.0459824,0.0847248,-0.106924,0.116059,-0.021644,-0.13304,0,110,-3.1625,-0.963808,-12.4127,0,1
0.641,0.0461584,0.0881615,-0.107838,0.116349,-0.0167233,-0.13304,0,110,-3.15029,-0.902773,-11.1187,0,1
0.658,0.0461908,0.0914404,-0.108549,0.116403,-0.0120285,-0.13304,0,110,-3.24795,-0.939346,-13.5845,0,1
0.675,0.0459902,0.0947333,-0.109276,0.116072,-0.00731369,-0.13304,0,110,-3.67519,-1.97694,-14.9517,0,1
0.692,0.0455288,0.0978741,-0.110094,0.115311,-0.00281663,-0.13304,93.7089,110,-4.45644,-2.57509,-13.438,0,1
0.71,0.0447937,0.100999,-0.110922,0.114099,0.00165766,-0.13304,98.3156,110,-1.70986,-2.80702,-9.77593,0,1
0.73,0.0435108,0.104103,-0.111531,0.111985,0.00610202,-0.13304,104.822,110,-3.07705,-3.57606,-10.0201,0,1
0.747,0.0422011,0.106453,-0.11178,0.109825,0.00946679,-0.13304,111.201,110,-3.84609,-4.05214,-12.2173,0,1
0.764,0.0406972,0.108524,-0.111923,0.107346,0.0124321,-0.13304,118.563,110,-2.85732,-4.06435,-13.1695,0,1
0.781,0.0389524,0.110279,-0.112019,0.10447,0.0149449,-0.13304,126.43,110,-2.27138,-4.01552,-11.9244,0,1
