time, x, y, z, visx, visy, visz, mov_angle, nail_angle, fx, fy, fz, score, scoring_enabled
0,0.0360941,0.0297039,-0.132364,0.0997577,0.099576,-0.132471,0,240,-1.46754,-1.85339,-11.9731,0,0
0.0159998,0.0360431,0.0296146,-0.132288,0.0996736,0.0994482,-0.132471,0,240,-0.942635,-1.6947,-12.8276,0,0
0.033,0.0358813,0.0294099,-0.132136,0.0994069,0.0991551,-0.132471,0,240,-1.27222,-1.36511,-12.6323,0,0
0.0500002,0.0356733,0.0291209,-0.131917,0.099064,0.0987413,-0.132471,0,240,-0.808358,-0.864625,-12.9252,0,0
0.066,0.0354163,0.0287931,-0.131674,0.0986403,0.0982719,-0.132471,0,240,-0.637459,-0.68152,-12.9008,0,0
0.0830002,0.0351306,0.0284277,-0.131384,0.0981693,0.0977488,-0.132471,0,240,-0.625233,-0.608278,-12.8032,0,0
0.099,0.0348108,0.0280291,-0.131064,0.0976421,0.097178,-0.132471,0,240,-0.808338,-0.986696,-13.145,0,0
0.116,0.0344089,0.0275406,-0.130668,0.0969795,0.0964786,-0.132471,0,240,-1.17455,-1.5116,-12.9252,0,0
0.133,0.0339451,0.026959,-0.130241,0.0962149,0.0956458,-0.132471,0,240,-1.21117,-1.82898,-12.8032,0,0
0.15,0.0334435,0.0263086,-0.129794,0.095388,0.0947146,-0.132471,0,240,-1.18676,-1.97547,-12.5834,0,1
0.167,0.0328223,0.0254863,-0.12925,0.0943639,0.0935372,-0.132471,0,240,-1.11351,-1.70691,-12.8276,0,1
0.183,0.0321486,0.0245642,-0.128681,0.0932533,0.0922169,-0.132471,0,240,-0.930409,-1.5238,-13.145,0,1
0.2,0.0314025,0.0235195,-0.128072,0.0920233,0.0907211,-0.132471,0,240,-0.490952,-1.1698,-13.4379,0,1
0.217,0.0306599,0.0224689,-0.127503,0.0907991,0.0892168,-0.132471,0,240,-0.613,-0.974489,-13.7065,0,1
0.233,0.029829,0.0212874,-0.126914,0.0894293,0.0875251,-0.132471,0,240,-0.52754,-1.01111,-14.0239,0,1
0.25,0.0289712,0.0200818,-0.12636,0.0880152,0.0857989,-0.132471,0,240,-0.210147,-1.47498,-13.853,0,1
0.266,0.0281019,0.0188394,-0.125837,0.0865821,0.08402,-0.132471,0,240,-0.527513,-1.12097,-12.6078,0,1
0.283,0.0271782,0.0174698,-0.125303,0.0850593,0.082059,-0.132471,0,240,-0.588525,-1.5238,-12.7543,0,1
0.299,0.0262328,0.016033,-0.12479,0.0835008,0.0800018,-0.132471,0,240,-0.686144,-2.43933,-12.5834,0,1
0.317,0.0251548,0.0142907,-0.124231,0.0817236,0.0775071,-0.132471,0,240,0.204979,-1.01111,-14.2924,0,1
0.334,0.0240921,0.012525,-0.123739,0.0799717,0.074979,-0.132471,0,240,-1.21104,-0.229857,-10.9233,0,1
0.345,0.0234327,0.0113603,-0.123449,0.0788846,0.0733113,-0.132471,239.068,240,-0.319915,-0.620477,-14.6098,0,1
0.362,0.0223929,0.00948753,-0.123053,0.0771705,0.0706299,-0.132471,0,240,1.01066,-2.7567,-15.0248,0,1
0.378,0.0213383,0.00747635,-0.122723,0.0754319,0.0677502,-0.132471,241.39,240,1.29142,-2.69565,-14.7075,0,1
0.395,0.0203576,0.00544337,-0.122464,0.0738152,0.0648394,-0.132471,242.539,240,0.864155,-1.78012,-14.7319,0,1
0.412,0.0193847,0.00333463,-0.122276,0.0722113,0.06182,-0.132471,243.946,240,-0.588514,-1.87778,-14.3657,0,1
0.429,0.0184241,0.00106264,-0.122133,0.0706277,0.058567,-0.132471,245.564,240,0.20491,-1.41391,-14.5854,0,1
