system_time, x, y, z 
16.422,-0.0900576,0.0521712,-0.0568096
16.536,-0.0897165,0.0523876,-0.0556158
16.648,-0.089194,0.0521856,-0.0574142
16.765,-0.0884136,0.0513958,-0.0625602
16.881,-0.087842,0.0506661,-0.069657
16.998,-0.0873069,0.0502671,-0.0748741
17.111,-0.086171,0.0500569,-0.0764083
17.225,-0.084872,0.0498074,-0.075885
17.342,-0.0838541,0.0491646,-0.0768096
17.457,-0.0838158,0.048533,-0.0799744
17.57,-0.0847447,0.0482535,-0.0830986
17.685,-0.085729,0.0481854,-0.084709
17.799,-0.0861,0.0482097,-0.0842823
17.912,-0.0860863,0.0483108,-0.0824382
18.027,-0.0864627,0.0485119,-0.0794106
18.143,-0.0881492,0.0487597,-0.076642
18.26,-0.0906174,0.0487804,-0.074483
18.379,-0.0926036,0.0482743,-0.0743204
18.497,-0.0939212,0.0476927,-0.0753821
18.608,-0.0948074,0.0474425,-0.0746201
18.726,-0.0954941,0.0474976,-0.071948
18.843,-0.0957516,0.0475993,-0.0684225
18.957,-0.0954328,0.0475847,-0.0656387
19.073,-0.0948375,0.0474808,-0.0648411
19.188,-0.0944823,0.0474179,-0.0662127
19.302,-0.0944251,0.0475848,-0.067757
19.416,-0.0943503,0.0476876,-0.0692912
19.531,-0.0943933,0.0476617,-0.0701243
19.644,-0.0945367,0.0477075,-0.069088
19.759,-0.0945444,0.0477727,-0.0667461
19.873,-0.0944068,0.0478203,-0.0641147
19.986,-0.0941872,0.04778,-0.0619658
20.103,-0.0940948,0.0478641,-0.0605841
20.215,-0.0939666,0.0479908,-0.0603047
20.331,-0.0938181,0.0481199,-0.0610667
20.444,-0.0938353,0.0483935,-0.0618134
20.559,-0.0937563,0.048717,-0.0620014
20.673,-0.093436,0.0489895,-0.0621335
20.787,-0.0931133,0.0493256,-0.0622452
20.895,-0.0929023,0.0497361,-0.0621233
21.015,-0.0925631,0.0501839,-0.0620674
21.129,-0.092235,0.0506346,-0.0621995
21.241,-0.0918801,0.0511139,-0.0626516
21.355,-0.0914515,0.051614,-0.0634695
21.47,-0.0910608,0.0521667,-0.0643788
21.582,-0.0904258,0.0526073,-0.0660705
21.697,-0.0893604,0.0528856,-0.069657
21.81,-0.0884612,0.0532211,-0.0743001
21.92,-0.087889,0.0537459,-0.0782879
22.038,-0.0875604,0.0545208,-0.0800202
22.15,-0.0873278,0.0552381,-0.078867
22.27,-0.0868387,0.05587,-0.0767232
22.383,-0.0863063,0.0563667,-0.0745338
22.497,-0.0858641,0.0570309,-0.0708965
22.613,-0.0853646,0.0576831,-0.0660044
22.727,-0.0847362,0.0578852,-0.0621792
22.84,-0.0844657,0.0577471,-0.0610464
22.951,-0.0846696,0.0574427,-0.0631749
23.06,-0.0850403,0.057044,-0.0663702
23.174,-0.0854681,0.0565739,-0.070805
23.285,-0.0858026,0.0560923,-0.07493
23.397,-0.0856493,0.0553342,-0.0777646
23.515,-0.0855615,0.0544386,-0.0799084
23.626,-0.0854573,0.0534811,-0.0813206
23.741,-0.0858344,0.0525054,-0.0824484
23.853,-0.0863023,0.0515847,-0.083058
23.971,-0.0866573,0.05073,-0.0834441
24.088,-0.086831,0.0501405,-0.0836168
24.201,-0.0866062,0.0497201,-0.0833679
24.316,-0.086407,0.0493816,-0.0828904
24.429,-0.0865543,0.0492007,-0.0818083
24.541,-0.0868096,0.0490674,-0.080899
24.656,-0.0871447,0.0489602,-0.0796646
24.774,-0.0875093,0.0488425,-0.0783234
24.888,-0.0877235,0.0485764,-0.0775157
25.006,-0.0878165,0.0483672,-0.0774954
25.122,-0.0879928,0.0484315,-0.0775259
25.237,-0.0882465,0.0486739,-0.0772465
25.351,-0.0884484,0.0489965,-0.0767385
25.463,-0.0882662,0.0491844,-0.0759155
25.579,-0.0881265,0.049555,-0.0747573
25.69,-0.0879443,0.0500372,-0.0739445
25.805,-0.0876704,0.0504355,-0.074356
25.918,-0.0873538,0.0507333,-0.0761441
26.033,-0.0876376,0.0507941,-0.0782879
26.148,-0.090129,0.0504097,-0.0807212
26.264,-0.0968475,0.0502248,-0.0825805
26.38,-0.107247,0.0506665,-0.0832917
26.496,-0.119448,0.0516344,-0.0824636
26.616,-0.132182,0.0526188,-0.0797204
26.73,-0.143112,0.0530433,-0.0760933
26.848,-0.152088,0.0524414,-0.0707644
26.965,-0.154042,0.0529563,-0.0642976
27.079,-0.154604,0.0565049,-0.0577393
27.193,-0.155729,0.0630523,-0.0539852
27.306,-0.157178,0.0705832,-0.0557784
27.416,-0.158016,0.0779719,-0.0598424
27.527,-0.157648,0.085064,-0.0641756
27.646,-0.155343,0.0927417,-0.0655168
27.76,-0.150451,0.100681,-0.0607263
27.876,-0.143168,0.109755,-0.0520294
27.991,-0.134425,0.119965,-0.0424688
28.107,-0.123783,0.131518,-0.0347777
28.225,-0.110065,0.143595,-0.0378765
28.341,-0.0940058,0.155891,-0.0487629
28.458,-0.0758127,0.16905,-0.0594106
28.574,-0.0567502,0.182886,-0.0666953
28.694,-0.0361651,0.196651,-0.0700684
28.808,-0.0164572,0.208844,-0.0706679
28.923,0.00305979,0.219507,-0.07017
29.037,0.0218836,0.227073,-0.0700329
29.152,0.0399528,0.232698,-0.0707136
29.268,0.0519908,0.237958,-0.0714705
29.383,0.0511659,0.238599,-0.0729031
29.499,0.0477083,0.23642,-0.0725424
29.618,0.0485175,0.229397,-0.0724103
