time, x, y, z, visx, visy, visz, mov_angle, nail_angle, fx, fy, fz, score, scoring_enabled
0,0.036074,0.0301537,-0.132999,0.0997245,-0.0997799,-0.132674,0,140,-1.5313,2.14429,-15.4887,0,0
0.0170002,0.0360119,0.0302641,-0.133045,0.0996222,-0.0996219,-0.132674,0,140,-1.18951,1.87573,-15.2934,0,0
0.0340004,0.0358463,0.0304915,-0.133198,0.0993492,-0.0992963,-0.132674,0,140,-0.579136,1.20435,-13.4623,0,0
0.0500002,0.03562,0.0308018,-0.133421,0.0989761,-0.098852,-0.132674,0,140,-0.664585,0.679443,-14.7318,0,0
0.0670004,0.0353665,0.0311375,-0.133634,0.0985582,-0.0983713,-0.132674,0,140,-0.762197,0.0202224,-13.8773,0,0
0.0830002,0.0350415,0.0314733,-0.133883,0.0980224,-0.0978905,-0.132674,0,140,-1.56786,0.154482,-16.0014,0,0
0.1,0.0346854,0.031816,-0.134234,0.0974353,-0.0973998,-0.132674,0,140,-1.21386,0.654902,-14.8051,0,0
0.116,0.0342251,0.0321927,-0.134696,0.0966765,-0.0968605,-0.132674,0,140,-1.05517,1.1676,-14.1215,0,0
0.134,0.0336918,0.0326778,-0.135148,0.0957973,-0.0961659,-0.132674,0,140,-1.20165,1.48498,-13.8529,0,0
0.151,0.0331009,0.0332626,-0.135092,0.0948232,-0.0953286,-0.132674,0,140,-0.749988,1.36291,-15.9525,0,0
0.169,0.0324383,0.033923,-0.135047,0.0937309,-0.094383,-0.132674,0,140,-2.70311,1.70471,-17.5639,0,0
0.185,0.0317475,0.0346886,-0.135052,0.0925921,-0.0932868,-0.132674,0,140,0.214383,1.3385,-15.8793,0,0
0.202,0.0310213,0.0355086,-0.135026,0.0913949,-0.0921127,-0.132674,0,140,0.11665,0.899043,-13.5844,0,0
0.219,0.0303415,0.0363746,-0.134981,0.0902742,-0.0908727,-0.132674,0,140,0.104416,0.264217,-13.6576,0,0
0.236,0.0296545,0.0372471,-0.134945,0.0891416,-0.0896235,-0.132674,0,140,-0.50588,0.117687,-14.5365,0,0
0.254,0.0288292,0.0382515,-0.13496,0.0877811,-0.0881854,-0.132674,0,140,-1.0674,0.227488,-15.7328,0,0
0.271,0.0280247,0.0391511,-0.135021,0.0864548,-0.0868973,-0.132674,0,140,-1.12844,0.434939,-15.3666,0,0
0.288,0.0271951,0.0400236,-0.135016,0.0850872,-0.085648,-0.132674,0,140,-0.872091,1.0941,-14.1947,0,0
0.304,0.0262956,0.0409866,-0.135006,0.0836043,-0.0842692,-0.132674,0,140,-0.591329,1.32604,-14.0482,0,0
0.32,0.0253808,0.04199,-0.135006,0.0820962,-0.0828325,-0.132674,0,140,-0.652298,1.48473,-14.5609,0,0
0.331,0.0247339,0.0427435,-0.135006,0.0810297,-0.0817536,-0.132674,0,140,-0.310467,1.68004,-15.0492,0,0
0.349,0.0237022,0.0439994,-0.135011,0.0793289,-0.0799554,-0.132674,0,140,-0.200518,1.00865,-16.1234,0,0
0.366,0.0226751,0.0452821,-0.135021,0.0776357,-0.0781188,-0.132674,0,140,-0.371347,0.483719,-15.8549,0,0
0.383,0.0216514,0.0466004,-0.135021,0.0759481,-0.0762312,-0.132674,0,140,-0.383465,0.508037,-15.1957,0,0
0.401,0.0205681,0.0479706,-0.135016,0.0741622,-0.0742694,-0.132674,0,140,-0.310142,0.581179,-14.3656,0,0
0.418,0.019506,0.0492887,-0.135011,0.0724113,-0.0723821,-0.132674,0,140,-0.603084,0.91074,-14.1459,0,0
0.434,0.0184203,0.0506526,-0.135006,0.0706214,-0.0704292,-0.132674,0,140,-0.224634,1.14267,-13.9262,0,0
0.451,0.0173029,0.0520876,-0.135006,0.0687793,-0.0683746,-0.132674,0,140,-0.639663,1.58213,-14.6098,0,0
0.467,0.0161404,0.0536183,-0.135006,0.0668629,-0.0661829,-0.132674,0,140,-0.786148,2.03379,-15.0736,0,0
0.484,0.0149539,0.0552283,-0.135011,0.0649069,-0.0638777,-0.132674,0,140,-1.00587,1.69199,-15.2689,0,0
0.5,0.0136739,0.0569841,-0.135011,0.0627967,-0.0613637,-0.132674,126.544,140,-1.23781,1.09385,-15.3666,0,0
0.516,0.0123421,0.0588184,-0.135016,0.0606012,-0.0587373,-0.132674,126.145,140,-0.712905,0.959568,-15.3422,0,0
0.536,0.010714,0.0609732,-0.135016,0.0579171,-0.055652,-0.132674,0,140,-1.46974,0.58115,-15.2201,0,0
0.554,0.00903437,0.0631266,-0.135016,0.0551482,-0.0525687,-0.132674,127.064,140,-1.55519,0.459037,-14.8783,0,0
0.571,0.00740305,0.0650593,-0.135016,0.0524589,-0.0498015,-0.132674,128.358,140,-1.62843,1.33793,-14.0482,0,0
0.587,0.00566084,0.0670269,-0.135011,0.0495867,-0.0469842,-0.132674,129.853,140,-1.31105,-1.44528,-15.2689,0,0
0.605,0.00373578,0.0691002,-0.135006,0.0464132,-0.0440156,-0.132674,131.573,140,-1.84816,2.83939,-14.6098,0,0
0.622,0.00150581,0.0713667,-0.135001,0.0427369,-0.0407704,-0.132674,133.075,140,-2.59279,4.57279,-14.1947,0,0
0.639,-0.000646361,0.0735046,-0.134991,0.039189,-0.0377093,-0.132674,134.236,140,-2.45851,-0.334447,-12.9008,0,0
0.658,-0.00318564,0.0758457,-0.134986,0.0350028,-0.0343573,-0.132674,135.737,140,-1.15235,0.471219,-11.2162,0,0
0.674,-0.00562926,0.077977,-0.134991,0.0309744,-0.0313057,-0.132674,137.186,140,-1.18896,-5.44919,-19.0287,0,0
0.69,-0.00815739,0.0801078,-0.134996,0.0268066,-0.0282547,-0.132674,138.68,140,-1.23778,-0.322244,-16.685,0,0
0.707,-0.0108657,0.0822845,-0.134991,0.0223418,-0.0251381,-0.132674,140.024,140,-4.71679,6.1841,-8.65273,0,0
0.724,-0.0135776,0.0844615,-0.134971,0.0178711,-0.022021,-0.132674,140.791,140,-0.480932,0.27589,-12.6322,0,0
0.743,-0.0166645,0.0868384,-0.134925,0.0127822,-0.0186177,-0.132674,141.65,140,-0.676204,-0.139156,-13.4867,0,0
