time, x, y, z, visx, visy, visz, mov_angle, nail_angle, fx, fy, fz, score, scoring_enabled
0,0.0363152,0.0297526,-0.132954,0.100122,0.0996458,-0.132842,0,240,1.49821,-1.61938,-11.3873,0,0
0.0180001,0.0363961,0.0296705,-0.132812,0.100256,0.0995282,-0.132842,0,240,0.948893,-1.79028,-12.8277,0,0
0.0359998,0.0365717,0.0294386,-0.132542,0.100545,0.0991962,-0.132842,0,240,1.03434,-1.50951,-11.7046,0,0
0.052,0.0367917,0.0291361,-0.132207,0.100908,0.0987631,-0.132842,0,240,1.11977,-1.05785,-12.2662,0,0
0.0689998,0.0370654,0.0287768,-0.131755,0.101359,0.0982486,-0.132842,0,240,0.777974,-1.16772,-10.2398,0,0
0.086,0.0374097,0.0283297,-0.131079,0.101927,0.0976084,-0.132842,0,240,0.948846,-1.24096,-10.9234,0,0
0.102,0.0377827,0.0278104,-0.130231,0.102541,0.0968649,-0.132842,0,240,0.289639,-1.46069,-10.9234,0,0
0.119,0.0381857,0.0271914,-0.12921,0.103206,0.0959786,-0.132842,0,240,0.143107,-1.74145,-11.9244,0,1
0.135,0.0385984,0.0264622,-0.128072,0.103886,0.0949345,-0.132842,0,240,0.179676,-2.10766,-11.7535,0,1
0.152,0.039001,0.0256034,-0.126822,0.10455,0.0937049,-0.132842,0,240,-0.332985,-1.91235,-11.7779,0,1
0.169,0.0393981,0.0246104,-0.125461,0.105204,0.0922831,-0.132842,0,240,0.130869,-1.94897,-11.9732,0,1
0.187,0.0398128,0.0234061,-0.123861,0.105888,0.0905587,-0.132842,0,240,-0.711382,-1.52172,-12.8765,0,1
0.205,0.0401923,0.0221208,-0.122245,0.106514,0.0887184,-0.132842,0,240,-0.320719,-1.37524,-13.1939,0,1
0.223,0.0405297,0.0206627,-0.120523,0.10707,0.0866307,-0.132842,0,240,-0.992096,-1.07006,-13.1207,0,1
0.239,0.040757,0.0193276,-0.119004,0.107445,0.0847191,-0.132842,0,240,-1.02872,-0.91137,-13.3892,0,1
0.255,0.040928,0.0179025,-0.117429,0.107727,0.0826786,-0.132842,0,240,-1.04092,-1.00903,-13.3892,0,1
0.273,0.0410225,0.0163644,-0.115809,0.107882,0.0804763,-0.132842,0,240,-1.26065,-1.3142,-14.4879,0,1
0.29,0.0410588,0.0147464,-0.114259,0.107942,0.0781596,-0.132842,0,240,-2.02969,-1.4851,-14.9761,0,1
0.307,0.0409454,0.0130286,-0.112806,0.107755,0.0757,-0.132842,0,240,-1.1752,-1.76586,-14.7808,0,1
0.323,0.0406701,0.011258,-0.111491,0.107301,0.0731649,-0.132842,266.052,240,-2.20059,-1.63159,-14.5611,0,1
0.34,0.0402792,0.0093775,-0.110261,0.106657,0.0704723,-0.132842,261.738,240,-2.43253,-1.52172,-15.0982,0,1
0.356,0.0397451,0.00746139,-0.109174,0.105777,0.0677288,-0.132842,257.833,240,-2.67667,-1.36303,-15.5377,0,1
0.374,0.0389633,0.00526363,-0.108133,0.104488,0.064582,-0.132842,254.107,240,-3.44571,-1.16772,-15.4888,0,1
0.392,0.0379295,0.00291604,-0.107224,0.102783,0.0612207,-0.132842,250.016,240,-2.92081,-1.26537,-14.9761,0,1
0.409,0.0367077,0.000604607,-0.106467,0.100769,0.0579111,-0.132842,246.108,240,-3.0917,-1.4851,-14.6099,0,1
0.425,0.0352981,-0.00173652,-0.105801,0.0984454,0.0545591,-0.132842,242.364,240,-3.36026,-1.8269,-14.7808,0,1
0.442,0.0337712,-0.00411875,-0.105217,0.0959282,0.0511482,-0.132842,239.412,240,-3.14053,-2.40063,-15.1226,0,1
0.458,0.0320126,-0.00670099,-0.104714,0.0930291,0.0474509,-0.132842,237.272,240,-2.3837,-2.19311,-14.9029,0,1
0.475,0.0300863,-0.00942515,-0.104313,0.0898535,0.0435504,-0.132842,235.868,240,-2.32266,-2.58373,-15.2447,0,1
0.491,0.0280101,-0.0123009,-0.104023,0.0864307,0.0394328,-0.132842,234.85,240,-2.10294,-2.75463,-15.855,0,1
0.508,0.0258021,-0.0153067,-0.10385,0.0827907,0.035129,-0.132842,234.183,240,-3.25039,-2.21752,-18.0523,0,1
0.524,0.0235419,-0.0184192,-0.103769,0.0790647,0.0306725,-0.132842,233.959,240,1.0709,-4.18286,-14.3658,0,1
0.541,0.0212625,-0.021527,-0.103795,0.0753069,0.0262227,-0.132842,233.82,240,0.899991,-2.75463,-15.8062,0,1
0.558,0.0188002,-0.0248596,-0.104008,0.0712477,0.021451,-0.132842,233.76,240,1.47372,-2.80346,-14.1461,0,1
0.575,0.0163553,-0.0281979,-0.104323,0.0672171,0.0166712,-0.132842,233.687,240,2.15732,-0.0568615,-14.3414,0,1
0.593,0.0138383,-0.0317505,-0.104684,0.0630677,0.0115845,-0.132842,234.013,240,1.41269,-1.11885,-13.438,0,1
0.611,0.0114685,-0.0352195,-0.105034,0.059161,0.00661753,-0.132842,234.713,240,-0.28411,-2.19306,-15.6353,0,1
0.627,0.00928833,-0.0386034,-0.10544,0.0555669,0.0017724,-0.132842,235.817,240,1.70564,0.602336,-14.8296,0,1
0.645,0.00715926,-0.0419347,-0.105933,0.052057,-0.00299741,-0.132842,236.742,240,0.912183,1.0906,-15.2935,0,1
0.662,0.00508289,-0.0452626,-0.106507,0.0486339,-0.00776236,-0.132842,237.551,240,0.973211,1.37136,-12.9254,0,1
0.68,0.00307436,-0.0484822,-0.107071,0.0453228,-0.0123722,-0.132842,237.829,240,1.43708,1.92068,-14.0728,0,1
0.697,0.00121974,-0.0514719,-0.107605,0.0422653,-0.0166529,-0.132842,238.086,240,0.0454758,2.72634,-13.0474,0,1
0.714,-0.000549646,-0.0543402,-0.108158,0.0393484,-0.0207598,-0.132842,238.181,240,1.27839,-0.94798,-14.5367,0,1
0.731,-0.00231536,-0.0571485,-0.108753,0.0364375,-0.0247808,-0.132842,238.122,240,-0.149833,3.21462,-12.4371,0,1
0.749,-0.00399478,-0.0597711,-0.109296,0.0336689,-0.0285359,-0.132842,237.858,240,0.216368,0.895262,-12.9498,0,1
0.766,-0.00563675,-0.0623363,-0.109753,0.030962,-0.0322088,-0.132842,237.536,240,0.252926,0.297056,-12.4127,0,1
0.784,-0.00742352,-0.0650675,-0.11016,0.0280164,-0.0361194,-0.132842,237.176,240,0.4116,0.272583,-13.5601,1,1
0.803,-0.00920442,-0.0677402,-0.11052,0.0250805,-0.0399462,-0.132842,236.826,240,-0.479487,0.443464,-14.3902,1,1
0.82,-0.0108693,-0.0701299,-0.110835,0.0223359,-0.0433678,-0.132842,236.123,240,0.0698474,0.870684,-14.5611,1,1
0.836,-0.0124555,-0.0722768,-0.111079,0.0197209,-0.0464418,-0.132842,235.086,240,-1.52928,0.138263,-12.0464,1,1
0.853,-0.0132306,-0.0727224,-0.111252,0.0184431,-0.0470798,-0.132842,0,240,-2.88426,-3.29191,-12.0464,1,1
0.869,-0.0135565,-0.0721515,-0.111349,0.0179059,-0.0462624,-0.132842,0,240,-3.95848,-12.081,-15.5132,1,1
0.886,-0.0139624,-0.0717716,-0.111455,0.0172367,-0.0457184,-0.132842,0,240,-7.07127,-13.1918,-12.2418,1,1
0.902,-0.0143464,-0.0715552,-0.111506,0.0166037,-0.0454086,-0.132842,0,240,-5.58201,-9.90812,-11.9488,1,1
0.919,-0.0146732,-0.0712634,-0.11144,0.0160649,-0.0449908,-0.132842,0,240,-3.90965,-6.24601,-9.26324,1,1
0.936,-0.0149297,-0.070911,-0.1111,0.0156421,-0.0444862,-0.132842,0,240,0.887716,-2.52287,-14.0484,1,1
0.952,-0.0151387,-0.0705491,-0.110673,0.0152975,-0.043968,-0.132842,0,240,-0.198723,-0.00818247,-12.4615,1,1
0.969,-0.0153075,-0.0701557,-0.11019,0.0150192,-0.0434048,-0.132842,0,240,2.23047,2.25011,-15.0494,1,1
0.988,-0.0152936,-0.0695249,-0.109784,0.0150422,-0.0425016,-0.132842,0,240,4.73291,4.89903,-14.9029,1,1
