time, x, y, z, visx, visy, visz, mov_angle, nail_angle, fx, fy, fz, score, scoring_enabled
0,0.0362924,0.0300703,-0.132034,0.100085,-0.0998993,-0.131404,0,140,0.0762721,0.936327,-9.65387,0,0
0.0180001,0.0362896,0.0301203,-0.131785,0.10008,-0.0998278,-0.131404,0,140,-0.0824015,0.704394,-9.19,0,0
0.0360003,0.0362878,0.0302432,-0.131206,0.100077,-0.0996518,-0.131404,0,140,0.344838,0.496874,-9.38531,0,0
0.053,0.0362897,0.0303891,-0.130439,0.10008,-0.0994429,-0.131404,0,140,-3.95201,0.045112,-13.1451,0,0
0.0690002,0.036306,0.0305496,-0.12954,0.100107,-0.0992131,-0.131404,0,140,-2.95103,-0.235648,-11.8023,0,1
0.086,0.0362868,0.030708,-0.128778,0.100075,-0.0989863,-0.131404,0,140,-2.05992,1.43673,-10.9722,0,1
0.102,0.0362041,0.0309083,-0.128062,0.099939,-0.0986995,-0.131404,0,140,2.652,-0.137985,-12.3882,0,1
0.119,0.0361303,0.0311273,-0.127137,0.0998173,-0.0983859,-0.131404,0,140,1.27261,0.85076,-9.11676,0,1
0.135,0.0361105,0.0313813,-0.125923,0.0997847,-0.0980222,-0.131404,0,140,1.58999,0.374639,-13.2427,0,1
0.151,0.0361395,0.0316655,-0.124658,0.0998325,-0.0976153,-0.131404,0,140,-1.58384,0.862902,-13.5113,0,1
0.168,0.0361652,0.0320043,-0.123424,0.0998749,-0.0971302,-0.131404,0,140,-0.912452,0.435648,-14.4146,0,1
0.185,0.0361271,0.0323848,-0.12224,0.0998121,-0.0965854,-0.131404,0,140,-1.84019,0.948326,-11.5582,0,1
0.201,0.0359519,0.032839,-0.120909,0.0995232,-0.0959351,-0.131404,0,140,-0.021322,1.09481,-11.0211,0,1
0.219,0.035665,0.0333634,-0.119344,0.0990503,-0.0951842,-0.131404,0,140,-0.570609,0.569908,-12.6324,0,1
0.236,0.0353613,0.0339044,-0.11781,0.0985496,-0.0944096,-0.131404,0,140,-2.05987,1.18026,-15.7086,0,1
0.252,0.0349757,0.0345215,-0.116423,0.0979139,-0.093526,-0.131404,0,140,-1.10772,1.32674,-15.7086,0,1
0.269,0.0344975,0.0352181,-0.115194,0.0971256,-0.0925286,-0.131404,0,140,-1.0833,1.21688,-14.1216,0,1
0.286,0.0339396,0.0360262,-0.11397,0.0962059,-0.0913716,-0.131404,0,140,-1.41289,1.63192,-13.3648,0,1
0.303,0.0333036,0.0369136,-0.112786,0.0951574,-0.090101,-0.131404,0,140,-1.99883,1.72958,-14.7076,0,1
0.319,0.0325513,0.0379087,-0.111674,0.0939172,-0.0886762,-0.131404,0,140,-2.68243,1.57088,-16.0259,0,1
0.335,0.0316494,0.0389716,-0.110759,0.0924303,-0.0871543,-0.131404,0,140,-2.9876,1.98592,-15.6109,0,1
0.351,0.0305644,0.0401347,-0.109977,0.0906416,-0.085489,-0.131404,0,140,-2.34063,1.72958,-14.3902,0,1
0.369,0.0292729,0.0414891,-0.109195,0.0885125,-0.0835497,-0.131404,0,140,-1.99883,1.20467,-14.2437,0,1
