time, x, y, z, visx, visy, visz, mov_angle, nail_angle, fx, fy, fz, score, scoring_enabled
0,0.0360015,0.0297216,-0.133086,0.099605,-0.100399,-0.132872,0,180,-1.0826,-1.169,-16.4897,0,0
0.0170002,0.0359881,0.0296889,-0.133177,0.0995829,-0.100445,-0.132872,0,180,-1.72957,-1.10797,-16.7338,0,0
0.033,0.0358277,0.0295526,-0.133477,0.0993185,-0.100641,-0.132872,0,180,-2.48641,-0.753965,-13.4135,0,0
0.0500002,0.0355321,0.0293771,-0.133863,0.0988312,-0.100892,-0.132872,0,180,-0.948321,-0.241222,-15.3178,0,0
0.0710001,0.0350266,0.0291312,-0.134396,0.0979978,-0.101244,-0.132872,0,180,-2.26668,-0.143465,-15.1957,0,0
0.0879998,0.0345038,0.0289211,-0.134955,0.097136,-0.101545,-0.132872,0,180,-2.816,-0.350903,-16.9047,0,0
0.104,0.0338189,0.0286981,-0.135189,0.0960069,-0.101864,-0.132872,0,180,-1.19246,-0.643796,-24.2289,0,0
0.12,0.0329271,0.0284419,-0.135108,0.0945367,-0.102231,-0.132872,0,180,-4.98885,-1.59594,-19.0043,0,0
0.136,0.0317696,0.0281091,-0.135072,0.0926285,-0.102707,-0.132872,0,180,-5.89217,-1.11986,-21.0551,0,0
0.153,0.0303565,0.0277011,-0.135082,0.0902989,-0.103292,-0.132872,0,180,-4.78133,-0.839099,-18.1742,0,0
0.169,0.0284743,0.0272123,-0.135062,0.087196,-0.103991,-0.132872,0,180,-6.02645,-1.62035,-16.6606,0,0
0.186,0.0262099,0.026631,-0.135047,0.083463,-0.104824,-0.132872,194.888,180,-7.24715,-0.826892,-18.6869,0,0
0.203,0.0234303,0.0259703,-0.135057,0.0788807,-0.10577,-0.132872,194.03,180,-8.32137,-0.924549,-20.2738,0,0
0.219,0.0199832,0.0252165,-0.135072,0.0731979,-0.106849,-0.132872,193.227,180,-8.85848,-0.643782,-21.3725,0,0
0.236,0.0160999,0.0244279,-0.135077,0.0667961,-0.107978,-0.132872,192.293,180,-8.26034,-0.301964,-20.0053,0,0
0.253,0.0117532,0.0236357,-0.135072,0.0596303,-0.109113,-0.132872,191.306,180,-3.10897,0.50369,-17.5395,0,0
0.271,0.00663882,0.0228233,-0.135052,0.051199,-0.110276,-0.132872,190.167,180,-0.264721,2.21268,-16.5629,0,0
0.288,0.00205979,0.0221952,-0.135047,0.0436502,-0.111175,-0.132872,189.036,180,7.46233,4.25126,-16.2699,0,0
0.304,-0.00218308,0.0217795,-0.135037,0.0366556,-0.11177,-0.132872,187.587,180,13.0165,2.28593,-16.5873,0,0
0.321,-0.00530644,0.0215757,-0.135026,0.0315066,-0.112062,-0.132872,185.963,180,16.0561,3.14042,-13.9262,0,0
0.337,-0.00734414,0.0215453,-0.134986,0.0281473,-0.112106,-0.132872,183.953,180,19.9989,2.29814,-12.0951,0,0
