time, x, y, z, visx, visy, visz, mov_angle, nail_angle, fx, fy, fz, score, scoring_enabled
0.00100017,0.086264,0.0493956,-0.135021,0.0978484,0.0991346,-0.135397,0,190,-11.0172,-4.68855,-30.7583,0,0
0.0200002,0.085409,0.0490139,-0.134656,0.0967212,0.0985881,-0.135397,0,190,-6.25645,-3.78523,-27.5845,0,0
0.0369999,0.0840247,0.048375,-0.133914,0.0948962,0.0976733,-0.135397,0,190,-5.6339,-1.45369,-26.2417,0,0
0.0540001,0.0824011,0.0476644,-0.132852,0.0927557,0.0966559,-0.135397,0,190,-1.05626,-0.196352,-35.0064,0,0
0.0710003,0.080293,0.0468883,-0.131745,0.0899765,0.0955446,-0.135397,202.562,190,-6.89122,-1.78326,-36.398,0,0
0.089,0.0779089,0.0460503,-0.131064,0.0868334,0.0943448,-0.135397,200.812,190,-4.05919,0.0966376,-40.8413,0,0
0.106,0.0751132,0.045254,-0.130708,0.0831477,0.0932046,-0.135397,198.301,190,-2.30138,-0.0986986,-30.1968,0,0
0.123,0.0722074,0.044489,-0.130231,0.0793168,0.0921093,-0.135397,196.528,190,-2.5211,-0.586963,-30.9536,0,0
0.141,0.069065,0.0436143,-0.129479,0.0751739,0.0908568,-0.135397,195.4,190,-5.1212,-2.01519,-32.6138,0,1
0.158,0.0656804,0.0426321,-0.128753,0.0707118,0.0894505,-0.135397,195.534,190,-6.81798,-2.17388,-34.2007,0,1
0.175,0.0619241,0.0414971,-0.128092,0.0657597,0.0878254,-0.135397,196.222,190,-4.79161,-2.35698,-31.9302,0,1
0.193,0.0575163,0.0401272,-0.127325,0.0599486,0.085864,-0.135397,196.802,190,-4.01036,-1.75884,-29.2691,0,1
0.212,0.052858,0.0385965,-0.126141,0.0538073,0.0836723,-0.135397,197.47,190,0.567271,-0.831104,-29.7574,0,1
0.23,0.0481253,0.0369974,-0.124734,0.0475679,0.0813826,-0.135397,198.061,190,-2.15486,-0.867716,-34.4693,0,1
0.25,0.0429186,0.0352049,-0.123307,0.0407036,0.0788161,-0.135397,198.634,190,-0.59236,0.792421,-35.69,0,1
0.267,0.0382679,0.0336582,-0.122255,0.0345723,0.0766015,-0.135397,198.699,190,0.176708,1.17082,-32.7359,0,1
0.285,0.0334921,0.0321123,-0.121168,0.028276,0.0743881,-0.135397,198.461,190,0.57951,0.145398,-31.271,0,1
0.304,0.0287325,0.0305854,-0.119924,0.0220012,0.0722018,-0.135397,198.037,190,-0.397035,-0.306263,-31.979,0,1
0.322,0.0238555,0.0290125,-0.118608,0.0155715,0.0699497,-0.135397,197.866,190,-1.44681,-0.257401,-35.812,0,1
0.342,0.0186709,0.0273286,-0.117389,0.00873634,0.0675387,-0.135397,197.888,190,0.127899,0.145462,-33.1021,0,1
0.359,0.0140626,0.0258416,-0.116337,0.00266094,0.0654096,-0.135397,197.92,190,3.08198,0.243088,-31.7837,0,1
0.376,0.00970031,0.0244625,-0.11525,-0.00309014,0.0634349,-0.135397,197.819,190,2.80121,1.76895,-32.5406,0,1
0.393,0.00557452,0.0231916,-0.114117,-0.00852942,0.0616153,-0.135397,197.531,190,1.65375,1.37833,-35.1529,0,1
0.413,0.00116218,0.0219088,-0.112984,-0.0143465,0.0597785,-0.135397,196.954,190,1.93452,2.0253,-35.7144,0,1
0.432,-0.00284555,0.0208646,-0.112151,-0.0196301,0.0582834,-0.135397,196.002,190,1.75141,1.04874,-34.0298,0,1
0.45,-0.00662561,0.0199357,-0.111374,-0.0246136,0.0569534,-0.135397,194.943,190,2.78901,0.291883,-32.2964,0,1
0.467,-0.00996403,0.0191232,-0.110632,-0.0290148,0.05579,-0.135397,194.056,190,1.33637,0.68247,-33.7124,0,1
0.484,-0.0131121,0.0183602,-0.109896,-0.0331651,0.0546976,-0.135397,193.709,190,2.11762,0.841124,-34.0054,0,1
0.502,-0.0162365,0.0176228,-0.109245,-0.0372842,0.0536417,-0.135397,193.531,190,1.61713,0.731231,-35.1773,0,1
0.519,-0.0191209,0.0169754,-0.108748,-0.0410869,0.0527148,-0.135397,193.2,190,2.32514,1.97635,-33.7124,0,1
0.538,-0.0220648,0.0164134,-0.108265,-0.044968,0.0519101,-0.135397,192.268,190,2.69135,1.63455,-33.5904,0,1
0.555,-0.0245884,0.0160365,-0.107843,-0.048295,0.0513704,-0.135397,190.754,190,2.28852,2.03738,-34.396,0,1
0.573,-0.0269496,0.0158165,-0.107533,-0.0514079,0.0510554,-0.135397,188.42,190,2.19086,1.50027,-35.5191,0,1
0.59,-0.0290506,0.0157183,-0.107417,-0.0541778,0.0509148,-0.135397,185.682,190,1.31196,1.40262,-34.9331,0,1
0.608,-0.0311895,0.0156906,-0.107391,-0.0569977,0.0508752,-0.135397,183,190,3.1308,0.963164,-33.5659,0,1
0.621,-0.0325791,0.0157472,-0.107401,-0.0588297,0.0509562,-0.135397,180.705,190,3.52143,0.853301,-33.7124,0,1
0.639,-0.0342315,0.0159127,-0.107498,-0.0610081,0.0511932,-0.135397,0,190,5.34028,1.42703,-35.5435,0,1
0.658,-0.0353894,0.0161765,-0.107777,-0.0625346,0.0515709,-0.135397,0,190,7.54975,1.1951,-38.7661,0,1
0.676,-0.0359166,0.0165674,-0.108433,-0.0632297,0.0521306,-0.135397,0,190,9.62495,1.75662,-38.6929,0,1
0.695,-0.0357084,0.017134,-0.109499,-0.0629552,0.0529419,-0.135397,0,190,7.76948,2.7698,-25.5337,0,1
0.712,-0.0345636,0.0177842,-0.110338,-0.0614459,0.0538728,-0.135397,0,190,9.88129,3.23367,-34.5181,0,1
0.729,-0.0325096,0.0185646,-0.111059,-0.058738,0.0549902,-0.135397,0,190,14.2514,0.194113,-32.687,0,1
0.747,-0.0296049,0.0194023,-0.111806,-0.0549086,0.0561897,-0.135397,0,190,3.65571,0.865502,-35.7632,0,1
0.764,-0.0260625,0.0202843,-0.112654,-0.0502384,0.0574525,-0.135397,0,190,3.87543,0.828881,-36.6421,0,1
0.781,-0.0225944,0.0212106,-0.113635,-0.0456662,0.0587788,-0.135397,0,190,1.7392,0.389416,-29.4644,0,1
0.799,-0.0188605,0.0221932,-0.114397,-0.0407436,0.0601857,-0.135397,0,190,1.22649,1.10963,-30.6851,0,1
