system_time, x, y, z 
0.209999,-0.0103634,0.0468942,-0.116728
0.325996,-0.0208369,0.0439955,-0.105054
0.446999,-0.0324429,0.0404271,-0.0929945
0.565998,-0.0435254,0.0371444,-0.0810819
0.684998,-0.0540693,0.0344506,-0.0691642
0.800999,-0.0639538,0.0322421,-0.0575412
0.915997,-0.0730001,0.0301371,-0.0460756
1.035,-0.0811538,0.0278579,-0.0342138
1.149,-0.0879995,0.0252967,-0.0227838
1.265,-0.0944283,0.0218001,-0.0112573
1.378,-0.101096,0.0168225,-0.00210312
1.496,-0.108116,0.0103186,-0.00021336
1.608,-0.113074,0.00424751,-0.00916432
1.722,-0.114372,-0.000764308,-0.0200254
1.839,-0.112293,-0.00396706,-0.022794
1.955,-0.111433,-0.00470988,-0.0128118
2.073,-0.114086,-0.00340279,-0.0038608
2.191,-0.117815,-0.00032371,-0.00465328
2.311,-0.119943,0.00428478,-0.0127051
2.426,-0.120021,0.00905835,-0.0174752
2.542,-0.118498,0.0135546,-0.0174904
2.659,-0.115722,0.0168839,-0.020066
2.778,-0.113153,0.0189342,-0.024318
2.9,-0.112477,0.019961,-0.0258166
3.03,-0.11332,0.0198289,-0.0243078
3.149,-0.113941,0.0189284,-0.0249225
3.269,-0.113613,0.0175898,-0.0288442
3.387,-0.112999,0.0162285,-0.0344322
3.504,-0.113209,0.0148678,-0.037145
3.62,-0.113732,0.013891,-0.0350774
3.736,-0.114333,0.0133494,-0.0314808
3.854,-0.116213,0.012884,-0.0264922
3.97,-0.120032,0.0124948,-0.0235661
4.085,-0.125699,0.0119911,-0.0266344
4.203,-0.132178,0.0111599,-0.0341833
4.321,-0.138005,0.00985073,-0.0432562
4.439,-0.143609,0.00816985,-0.0505917
4.555,-0.149728,0.00651883,-0.055692
4.672,-0.150055,0.00479907,-0.0606908
4.791,-0.150025,0.00356023,-0.066995
4.907,-0.150001,0.00246057,-0.0721004
5.026,-0.149996,0.00155046,-0.0781761
5.146,-0.149994,0.00109689,-0.084648
5.262,-0.15,0.00134589,-0.0902411
5.381,-0.150005,0.00233899,-0.0919886
5.499,-0.149524,0.00412645,-0.0861365
5.617,-0.1477,0.00647896,-0.0747217
5.741,-0.144623,0.00872787,-0.062423
5.862,-0.142301,0.0106132,-0.0502564
5.978,-0.141557,0.0122976,-0.0395834
6.095,-0.140747,0.0136508,-0.0314757
6.214,-0.139493,0.014983,-0.0260096
6.332,-0.139468,0.0161741,-0.0245974
6.451,-0.139628,0.0168888,-0.026609
6.569,-0.139823,0.0171273,-0.031811
6.687,-0.140486,0.0170775,-0.0407314
6.807,-0.140174,0.0164936,-0.0505612
6.927,-0.141017,0.015672,-0.058359
7.043,-0.143186,0.0144056,-0.0624891
7.163,-0.147962,0.0127377,-0.0635914
7.283,-0.150185,0.0103229,-0.0634289
7.406,-0.150086,0.00739869,-0.0629971
7.527,-0.150021,0.0040702,-0.0647192
7.646,-0.149996,0.00162754,-0.0668223
7.765,-0.149994,0.00108207,-0.0689204
7.883,-0.150003,0.00276295,-0.0694182
8.002,-0.150061,0.00670534,-0.0656234
8.122,-0.150201,0.0119566,-0.0584962
8.242,-0.15037,0.0161509,-0.0502209
8.361,-0.150449,0.0177795,-0.045405
8.481,-0.150401,0.0168113,-0.0464718
8.603,-0.150293,0.0143946,-0.0513588
8.724,-0.1502,0.0120515,-0.056515
8.865,-0.150131,0.00967201,-0.0597967
8.991,-0.150073,0.00750571,-0.0602031
9.117,-0.148448,0.00537804,-0.0581
9.237,-0.140252,0.00361395,-0.0560019
9.357,-0.129579,0.00373685,-0.0548996
9.475,-0.123021,0.00611196,-0.0556209
9.593,-0.119284,0.0104118,-0.0581812
9.712,-0.116337,0.0157923,-0.0613562
9.833,-0.114613,0.0212848,-0.0646024
9.955,-0.115503,0.0259986,-0.0664972
10.075,-0.117781,0.029001,-0.0659079
10.197,-0.119212,0.0300443,-0.0631444
10.318,-0.119863,0.0297078,-0.059817
10.437,-0.120864,0.0289383,-0.0571957
10.56,-0.122567,0.0278792,-0.0561188
10.679,-0.124202,0.0266129,-0.0563169
10.798,-0.125237,0.0251459,-0.057785
10.917,-0.125402,0.023615,-0.0586892
11.038,-0.125573,0.0223436,-0.0596392
11.157,-0.127479,0.0217042,-0.0604114
11.278,-0.138778,0.0211196,-0.06064
11.401,-0.150451,0.0189699,-0.0584098
11.52,-0.150421,0.0169053,-0.0557378
11.64,-0.150436,0.0173141,-0.0573583
11.758,-0.150613,0.0206682,-0.0603453
11.885,-0.150916,0.0252798,-0.0661873
12.008,-0.151222,0.0292553,-0.0721258
12.127,-0.151383,0.0311726,-0.0753008
12.247,-0.151278,0.0299736,-0.0729945
12.369,-0.150945,0.0257414,-0.0695452
12.491,-0.150623,0.0209289,-0.068199
12.612,-0.150422,0.0173327,-0.0671932
12.734,-0.150363,0.015994,-0.0632612
12.851,-0.150405,0.0168912,-0.0586029
12.968,-0.150514,0.0191149,-0.0543357
13.09,-0.150662,0.0215562,-0.0528828
13.21,-0.150761,0.0231896,-0.0557124
13.329,-0.150814,0.0239051,-0.058486
13.45,-0.150769,0.0232248,-0.0606806
13.573,-0.150642,0.0213169,-0.0616966
13.688,-0.150556,0.0197629,-0.0614578
13.808,-0.150622,0.0209082,-0.0590652
13.93,-0.151009,0.0265987,-0.0555193
14.052,-0.152097,0.0382842,-0.0517347
14.17,-0.154169,0.0538815,-0.0493065
14.292,-0.156915,0.0692692,-0.0489153
14.413,-0.159858,0.0825172,-0.050861
14.537,-0.163388,0.0958878,-0.0507289
14.657,-0.1673,0.109077,-0.0462128
