time, x, y, z, visx, visy, visz, mov_angle, nail_angle, fx, fy, fz, score, scoring_enabled
0.000999928,0.0862194,0.0495618,-0.135067,0.0977896,0.0993726,-0.136891,0,190,-10.9799,-3.7215,-32.8091,0,0
0.02,0.0853477,0.0492584,-0.134899,0.0966404,0.0989382,-0.136891,0,190,-7.4887,-3.64826,-31.6128,0,0
0.0380001,0.0839157,0.0487046,-0.13463,0.0947525,0.0981452,-0.136891,0,190,-6.70745,-1.67072,-31.0269,0,0
0.0550003,0.0820084,0.0480393,-0.134229,0.092238,0.0971926,-0.136891,0,190,-5.65764,-0.425579,-32.4917,0,0
0.072,0.0795692,0.0473289,-0.133807,0.0890223,0.0961755,-0.136891,198.465,190,-5.98723,0.0871437,-34.5913,0,0
0.0900002,0.0767711,0.0466382,-0.133523,0.0853334,0.0951865,-0.136891,196.131,190,-6.03606,0.270194,-35.9341,0,0
0.107,0.0735633,0.045968,-0.133452,0.0811043,0.0942269,-0.136891,193.781,190,-6.69524,-0.877243,-34.3716,0,0
0.125,0.0699498,0.0452704,-0.133452,0.0763404,0.0932281,-0.136891,192.079,190,-6.15813,-1.38994,-32.0279,0,0
0.142,0.0657548,0.0444453,-0.133411,0.0708099,0.0920467,-0.136891,191.258,190,-5.70647,-2.13457,-30.1968,0,0
0.159,0.0612791,0.0434911,-0.133162,0.0649093,0.0906804,-0.136891,191.4,190,-6.49993,-3.46513,-32.98,0,0
0.178,0.055974,0.0422463,-0.132776,0.0579153,0.0888981,-0.136891,192.21,190,-4.40032,-2.13457,-32.272,0,0
0.197,0.0500316,0.0407172,-0.132309,0.0500811,0.0867087,-0.136891,193.339,190,-1.64153,-0.840622,-32.1255,0,0
0.215,0.0443366,0.0391878,-0.131811,0.042573,0.0845189,-0.136891,194.251,190,-0.27433,-0.315694,-32.0034,0,0
0.233,0.0386413,0.0376315,-0.131252,0.0350645,0.0822906,-0.136891,194.909,190,0.616772,0.477753,-33.2241,0,0
0.252,0.0328425,0.036061,-0.130724,0.0274196,0.0800419,-0.136891,195.157,190,0.787625,-0.230258,-34.7378,0,0
0.27,0.0271213,0.0345123,-0.130282,0.019877,0.0778244,-0.136891,195.194,190,0.396975,0.062701,-32.8335,0,0
0.289,0.0213093,0.0329081,-0.12986,0.0122147,0.0755275,-0.136891,195.244,190,1.20261,-0.218044,-32.687,0,1
0.308,0.0157812,0.0313575,-0.129362,0.00492667,0.0733073,-0.136891,195.413,190,2.65525,0.587621,-30.6607,0,1
