time, x, y, z, visx, visy, visz, mov_angle, nail_angle, fx, fy, fz, score, scoring_enabled
0.00100017,0.0864659,0.0506735,-0.135067,0.0981146,-0.0990357,-0.135397,0,140,-7.75263,7.34877,-32.9068,0,0
0.0190001,0.0859151,0.0512609,-0.134844,0.0973885,-0.0981946,-0.135397,0,140,-4.71308,5.05385,-31.0513,0,0
0.0370002,0.0849754,0.0522573,-0.134483,0.0961496,-0.096768,-0.135397,0,140,-3.0041,2.62465,-30.4898,0,0
0.0540001,0.0838921,0.053407,-0.13396,0.0947214,-0.0951218,-0.135397,0,140,-2.10078,0.329726,-32.1499,0,0
0.0730002,0.0825233,0.0546901,-0.133375,0.0929168,-0.0932846,-0.135397,0,140,-0.0255914,-0.964206,-38.1314,0,0
0.0910001,0.0810612,0.0558986,-0.132989,0.0909893,-0.0915543,-0.135397,0,140,-3.3459,-0.561338,-36.105,0,0
0.109,0.0794976,0.0570712,-0.132949,0.0889279,-0.0898753,-0.135397,0,140,-0.672556,0.97676,-35.7388,0,0
0.129,0.0777246,0.0583149,-0.13302,0.0865904,-0.0880946,-0.135397,0,140,-0.587051,1.31855,-27.7798,0,0
0.149,0.0756498,0.0598742,-0.13272,0.0838551,-0.0858619,-0.135397,0,140,-1.03869,3.1496,-32.4429,0,0
0.166,0.0738744,0.0613065,-0.132217,0.0815145,-0.0838111,-0.135397,143.014,140,-3.26037,3.39375,-33.0777,0,0
0.178,0.0724915,0.0624735,-0.131892,0.0796913,-0.0821402,-0.135397,141.527,140,-5.3844,4.26044,-34.1031,0,0
0.197,0.0701704,0.0645474,-0.131475,0.0766313,-0.0791708,-0.135397,0,140,-2.60119,3.94306,-30.9781,0,0
0.215,0.0676298,0.0668858,-0.130927,0.0732818,-0.0758226,-0.135397,138.22,140,-0.501583,2.40498,-27.9019,0,0
0.234,0.0649709,0.0695047,-0.129957,0.0697764,-0.0720728,-0.135397,136.926,140,-0.294054,1.03779,-30.8072,0,1
0.252,0.0621967,0.0721866,-0.128814,0.066119,-0.0682328,-0.135397,136.227,140,-1.49032,-0.463687,-34.4937,0,1
0.271,0.0593683,0.0749223,-0.127737,0.0623902,-0.0643158,-0.135397,135.791,140,-0.245186,-0.768829,-34.6402,0,1
0.289,0.0566726,0.0773564,-0.126863,0.0588363,-0.0608306,-0.135397,136.584,140,-0.123097,-0.439239,-31.6372,0,1
0.306,0.0540243,0.0797215,-0.125903,0.0553449,-0.0574442,-0.135397,137.324,140,0.645924,-0.292718,-30.8316,0,1
0.323,0.0514561,0.0819759,-0.124811,0.0519591,-0.0542163,-0.135397,138.284,140,-0.245218,0.390912,-33.1753,0,1
0.341,0.0489019,0.0842259,-0.123723,0.0485917,-0.0509947,-0.135397,138.522,140,-1.0997,0.989023,-34.8355,0,1
0.357,0.0463191,0.0865455,-0.122733,0.0451866,-0.0476735,-0.135397,138.471,140,-0.525963,0.818124,-32.9312,0,1
0.369,0.0445389,0.0881841,-0.122062,0.0428397,-0.0453273,-0.135397,138.092,140,-0.257376,0.818124,-31.3443,0,1
0.389,0.0416943,0.0908244,-0.120848,0.0390895,-0.0415469,-0.135397,137.526,140,0.340737,-0.390393,-30.7583,0,1
0.41,0.0383783,0.0939106,-0.119136,0.0347178,-0.037128,-0.135397,137.154,140,0.218615,-0.829795,-32.9556,0,1
0.427,0.0358472,0.0962308,-0.11778,0.0313809,-0.0338059,-0.135397,137.207,140,-0.684662,-1.72091,-34.5913,0,1
0.445,0.0331733,0.0985501,-0.116469,0.0278557,-0.0304851,-0.135397,137.802,140,0.267525,-1.79415,-33.4439,0,1
0.463,0.0304969,0.100725,-0.115204,0.0243273,-0.027371,-0.135397,139.153,140,1.3417,-0.524619,-31.9302,0,1
0.48,0.027971,0.102777,-0.113899,0.0209972,-0.0244329,-0.135397,140.269,140,0.597072,-0.658866,-33.3462,0,1
0.498,0.0255933,0.104729,-0.112634,0.0178626,-0.021638,-0.135397,140.815,140,0.340696,0.159035,-35.2017,0,1
0.515,0.0231984,0.106737,-0.111491,0.0147052,-0.0187629,-0.135397,140.521,140,-0.440534,0.329858,-35.2505,0,1
0.532,0.0208939,0.108705,-0.110531,0.0116671,-0.0159451,-0.135397,140.049,140,0.0599743,-0.0119957,-32.9556,0,1
0.55,0.0186161,0.110666,-0.109581,0.00866409,-0.0131373,-0.135397,139.605,140,1.3905,-0.744387,-32.1255,0,1
0.567,0.0163705,0.112549,-0.10859,0.00570358,-0.0104412,-0.135397,139.595,140,1.18298,-2.18482,-33.6636,0,1
0.589,0.0135928,0.114762,-0.107366,0.00204157,-0.00727259,-0.135397,140.321,140,2.0863,-3.08814,-35.2749,0,1
0.608,0.0114893,0.116332,-0.106528,-0.000731602,-0.00502463,-0.135397,141.514,140,3.1361,-3.22241,-34.2984,0,1
