time, x, y, z, visx, visy, visz, mov_angle, nail_angle, fx, fy, fz, score, scoring_enabled
0,0.0868559,0.0496907,-0.135062,0.0986288,0.0995571,-0.135103,0,230,-5.22983,-1.92787,-32.5894,0,0
0.0179999,0.0865893,0.0495881,-0.134915,0.0982773,0.0994102,-0.135103,0,230,-2.69077,-2.28188,-31.8081,0,0
0.0349998,0.0859184,0.0492615,-0.134681,0.0973928,0.0989426,-0.135103,0,230,-4.4852,-2.75795,-31.3687,0,0
0.0539999,0.0849331,0.0486698,-0.1343,0.0960938,0.0980954,-0.135103,0,230,-4.00913,-2.77016,-32.6626,0,0
0.073,0.0835411,0.0478722,-0.133909,0.0942587,0.0969534,-0.135103,0,230,-5.32749,-3.7101,-34.5425,0,0
0.0909998,0.0818454,0.0468501,-0.13365,0.0920231,0.0954899,-0.135103,0,230,-5.37631,-3.83217,-36.5689,0,0
0.108,0.0797022,0.045541,-0.133624,0.0891976,0.0936155,-0.135103,210.885,230,-6.25522,-3.94203,-35.7144,0,0
0.126,0.0771247,0.0439518,-0.133807,0.0857995,0.0913401,-0.135103,211.425,230,-5.79135,-4.11293,-34.0054,0,0
0.143,0.0741957,0.0421099,-0.134041,0.0819381,0.0887028,-0.135103,211.785,230,-5.29086,-3.86879,-31.979,0,0
0.16,0.070782,0.0399256,-0.134214,0.0774376,0.0855753,-0.135103,212.191,230,-5.30307,-4.01528,-31.5884,0,0
0.177,0.0670694,0.0375427,-0.134285,0.072543,0.0821634,-0.135103,212.513,230,-5.0101,-3.09975,-32.1255,0,0
0.195,0.0629678,0.0349012,-0.134295,0.0671356,0.0783813,-0.135103,212.702,230,-5.33969,-3.49037,-33.8589,0,0
0.212,0.0585443,0.0320204,-0.13432,0.0613039,0.0742565,-0.135103,212.861,230,-5.09555,-3.68569,-33.688,0,0
0.229,0.0538094,0.0289261,-0.134391,0.0550616,0.069826,-0.135103,213.017,230,-3.31333,-3.72231,-33.8589,0,0
0.247,0.0483668,0.0253175,-0.134518,0.0478863,0.0646592,-0.135103,213.28,230,-2.99594,-2.86782,-33.1997,0,0
0.267,0.042382,0.0212718,-0.134666,0.0399961,0.0588664,-0.135103,213.626,230,-2.08042,-2.41615,-34.0542,0,0
0.285,0.0366476,0.0173058,-0.134854,0.0324361,0.0531879,-0.135103,214.102,230,-1.55551,-2.47719,-34.3716,0,0
0.302,0.0311442,0.0133957,-0.135057,0.0251806,0.0475893,-0.135103,214.692,230,0.0313933,-1.04896,-34.4449,0,0
0.321,0.0250885,0.00903821,-0.135031,0.0171971,0.0413502,-0.135103,215.276,230,2.35071,0.891925,-35.5923,0,0
