time, x, y, z, visx, visy, visz, mov_angle, nail_angle, fx, fy, fz, score, scoring_enabled
0.728,-0.00383518,0.0499635,-0.133838,-0.0209348,-0.100052,-0.135362,0,130,24.7266,-5.28857,-40.1822,0,0
0.749,0.00659052,0.0505713,-0.133345,-0.00718996,-0.099182,-0.135362,0,130,2.64409,-7.18066,-31.4908,0,0
0.767,0.0153339,0.0505317,-0.13303,0.00433697,-0.0992387,-0.135362,0,130,-8.75728,-6.17969,-35.3238,0,0
0.784,0.0230519,0.050099,-0.132847,0.0145121,-0.0998582,-0.135362,0,130,-32.4023,-5.87451,-34.6402,0,0
0.801,0.0286714,0.0492187,-0.132786,0.0219206,-0.101119,-0.135362,0,130,-48.0029,-2.11475,-42.8921,0,0
0.819,0.0308078,0.0481753,-0.133386,0.0247372,-0.102613,-0.135362,0,130,-45.6103,1.68164,-44.3325,0,0
0.837,0.029369,0.0472175,-0.134783,0.0228403,-0.103984,-0.135362,0,130,-31.56,5.12402,-33.9077,0,0
0.854,0.0245675,0.0464981,-0.135275,0.0165102,-0.105014,-0.135362,0,130,-28.8256,6.22265,-49.2886,0,0
0.871,0.0175128,0.0461114,-0.135169,0.00720954,-0.105568,-0.135362,188.824,130,-14.7387,1.92578,-41.8667,0,0
0.889,0.00925335,0.0460755,-0.135133,-0.00367939,-0.105619,-0.135362,183.249,130,-1.62837,4.11083,-54.3667,0,0
0.906,0.00133688,0.0462927,-0.135291,-0.0141162,-0.105308,-0.135362,180.507,130,15.8521,1.55956,-55.5386,0,0
0.924,-0.00561468,0.0466476,-0.13523,-0.0232808,-0.1048,-0.135362,178.672,130,31.0987,-0.332534,-45.1382,0,0
0.943,-0.0104697,0.0470975,-0.135098,-0.0296815,-0.104156,-0.135362,177.034,130,44.4654,1.12011,-35.3726,0,0
0.961,-0.011399,0.0475762,-0.13491,-0.0309066,-0.10347,-0.135362,174.245,130,49.6167,2.62157,-25.3872,0,0
0.981,-0.00802097,0.0483174,-0.134112,-0.0264532,-0.102409,-0.135362,0,130,33.418,-0.320316,-36.3736,0,0
0.998,-0.00185297,0.0489742,-0.133208,-0.0183215,-0.101469,-0.135362,0,130,28.8526,-0.234863,-31.0025,0,0
1.016,0.00650398,0.0496919,-0.132309,-0.00730405,-0.100441,-0.135362,0,130,9.96831,0.521953,-31.857,0,0
1.033,0.0157975,0.050436,-0.131435,0.00494816,-0.0993757,-0.135362,0,130,-6.8896,-0.747576,-31.8325,0,0
1.051,0.0246231,0.0511106,-0.130475,0.0165835,-0.0984098,-0.135362,0,130,-22.3193,-0.125007,-29.0982,0,0
1.069,0.0316015,0.0517268,-0.129316,0.0257835,-0.0975275,-0.135362,0,130,-35.2709,-1.32128,-36.0318,0,1
1.086,0.0359568,0.0521827,-0.128346,0.0315254,-0.0968748,-0.135362,0,130,-48.9794,-3.37207,-40.8902,0,1
1.104,0.0368936,0.0524162,-0.12793,0.0327604,-0.0965404,-0.135362,0,130,-49.4555,-5.09326,-43.1607,0,1
1.122,0.0342242,0.0523109,-0.128173,0.0292412,-0.0966912,-0.135362,0,130,-34.3798,-6.2041,-39.9624,0,1
1.14,0.0280277,0.0516319,-0.129256,0.021072,-0.0976634,-0.135362,183.974,130,-29.3261,-6.57031,-46.774,0,1
1.16,0.0190781,0.0503441,-0.13112,0.00927317,-0.0995073,-0.135362,186.634,130,-18.0468,-2.3955,-41.8667,0,0
1.177,0.0103409,0.0490735,-0.132908,-0.00224561,-0.101327,-0.135362,187.719,130,5.98882,0.924819,-49.8745,0,0
1.196,0.000767792,0.0477891,-0.134777,-0.0148664,-0.103166,-0.135362,188.024,130,20.7959,0.375495,-41.3784,0,0
1.214,-0.00659735,0.0467868,-0.135402,-0.0245763,-0.104601,-0.135362,187.888,130,40.608,6.56446,-56.5396,0,0
1.232,-0.0110457,0.0462355,-0.13523,-0.0304409,-0.10539,-0.135362,187.559,130,42.1827,4.95313,-43.1363,0,0
1.249,-0.012384,0.0460881,-0.135072,-0.0322052,-0.105601,-0.135362,187.369,130,49.2139,5.55127,-37.9849,0,0
1.267,-0.0102196,0.0464559,-0.134945,-0.0293518,-0.105075,-0.135362,0,130,42.7686,5.53907,-23.1411,0,0
1.285,-0.00414579,0.0473541,-0.134117,-0.0213443,-0.103788,-0.135362,0,130,37.7515,4.61133,-29.2935,0,0
1.302,0.00410249,0.0485641,-0.132791,-0.0104701,-0.102056,-0.135362,0,130,18.1104,-1.89501,-26.2173,0,0
1.32,0.0132988,0.0497309,-0.131359,0.00165397,-0.100385,-0.135362,0,130,-3.69135,-1.3335,-36.4224,0,0
1.338,0.0227097,0.0509466,-0.129987,0.0140609,-0.0986446,-0.135362,0,130,-22.5634,-4.01903,-35.104,0,1
1.355,0.0296438,0.0518081,-0.12893,0.0232026,-0.0974111,-0.135362,0,130,-35.454,-6.50927,-36.0562,0,1
1.376,0.0343474,0.0521996,-0.128057,0.0294036,-0.0968506,-0.135362,0,130,-39.2504,-7.05858,-41.354,0,1
1.394,0.0354029,0.0518953,-0.12797,0.0307952,-0.0972863,-0.135362,0,130,-46.6845,-5.22753,-51.6568,0,1
1.412,0.0326399,0.0512814,-0.12922,0.0271525,-0.0981653,-0.135362,0,130,-33.9404,-1.04052,-58.0777,0,1
1.429,0.0269406,0.0504715,-0.130922,0.0196388,-0.0993249,-0.135362,193.133,130,-26.7382,-0.637693,-43.0386,0,0
1.447,0.0194447,0.049718,-0.132827,0.00975649,-0.100404,-0.135362,187.769,130,-7.65864,4.3916,-51.3394,0,0
1.465,0.0111935,0.0492297,-0.134564,-0.00112157,-0.101103,-0.135362,185.465,130,4.24322,0.473142,-42.8921,0,0
1.482,0.00342019,0.0488642,-0.135468,-0.0113696,-0.101626,-0.135362,183.909,130,19.6729,2.45069,-67.7456,0,0
1.5,-0.00305785,0.0486646,-0.135311,-0.01991,-0.101912,-0.135362,182.68,130,24.0308,-0.918448,-46.481,0,0
1.518,-0.00763693,0.0486161,-0.135072,-0.0259469,-0.101981,-0.135362,181.866,130,36.421,2.15772,-35.5435,0,0
