time, x, y, z, visx, visy, visz, mov_angle, nail_angle, fx, fy, fz, score, scoring_enabled
0.000999928,0.0864368,0.050716,-0.135042,0.0980762,-0.0989748,-0.134645,0,140,-5.38872,3.95541,-31.9546,0,0
0.0190001,0.0861667,0.0510078,-0.134823,0.0977202,-0.098557,-0.134645,0,140,-1.25053,3.28403,-30.1968,0,0
0.0369999,0.0855289,0.051537,-0.134432,0.0968793,-0.0977993,-0.134645,0,140,-2.60551,2.16098,-30.2945,0,0
0.0550001,0.0848346,0.0522347,-0.133848,0.095964,-0.0968003,-0.134645,0,140,-1.38481,1.57504,-30.7583,0,0
0.073,0.0839688,0.0530699,-0.133126,0.0948225,-0.0956045,-0.134645,0,140,-1.14067,0.989106,-38.2534,0,0
0.0910001,0.0829487,0.0540128,-0.132486,0.0934777,-0.0942544,-0.134645,0,140,-3.85063,1.61166,-35.1773,0,0
0.11,0.0816302,0.0551778,-0.132161,0.0917394,-0.0925863,-0.134645,0,140,-2.61772,3.46713,-35.5923,0,0
0.128,0.0800378,0.0565589,-0.131892,0.0896401,-0.0906088,-0.134645,0,140,-1.39702,2.86899,-27.7066,0,0
0.146,0.0784719,0.0580934,-0.131293,0.0875756,-0.0884117,-0.134645,0,140,-1.11625,2.82016,-31.3931,0,0
0.163,0.0767322,0.0598288,-0.13049,0.0852821,-0.0859269,-0.134645,0,140,-3.85063,3.27182,-33.0777,0,0
0.181,0.074837,0.061764,-0.129743,0.0827835,-0.0831561,-0.134645,0,140,-3.77739,3.73569,-34.5425,0,1
0.198,0.0726239,0.0640049,-0.129027,0.0798659,-0.0799475,-0.134645,134.691,140,-2.82524,2.82016,-30.0015,0,1
0.216,0.0701402,0.0665452,-0.128123,0.0765914,-0.0763103,-0.134645,134.464,140,-1.64116,2.05112,-30.0015,0,1
0.234,0.0675021,0.0692306,-0.126914,0.0731135,-0.0724653,-0.134645,134.49,140,-1.14066,0.940274,-32.1255,0,1
0.252,0.064837,0.0718838,-0.125705,0.0695999,-0.0686664,-0.134645,134.664,140,-1.27494,0.00032489,-35.9341,0,1
0.27,0.0620465,0.074593,-0.124663,0.065921,-0.0647873,-0.134645,135.163,140,-0.334979,-1.02501,-35.0796,0,1
0.288,0.0592541,0.0772324,-0.123784,0.0622396,-0.0610082,-0.134645,135.868,140,0.958975,-0.915147,-32.1988,0,1
0.307,0.0564324,0.0798564,-0.122819,0.0585196,-0.0572511,-0.134645,136.511,140,1.26415,-0.756455,-31.3443,0,1
0.326,0.053525,0.0824991,-0.121676,0.0546866,-0.0534672,-0.134645,137.145,140,-0.43264,-1.13487,-33.4439,0,1
0.345,0.0507619,0.0848981,-0.120604,0.0510439,-0.0500323,-0.134645,137.928,140,-0.835426,-1.7086,-34.1031,0,1
0.363,0.0480318,0.0870975,-0.119654,0.0474446,-0.0468831,-0.134645,139.24,140,0.0190863,-1.53771,-32.1011,0,1
0.38,0.0454021,0.089111,-0.118689,0.0439777,-0.0440002,-0.134645,140.855,140,1.31301,-1.68419,-31.1001,0,1
0.398,0.0428605,0.0909963,-0.117577,0.040627,-0.0413007,-0.134645,142.339,140,2.02102,-1.83067,-32.2964,0,1
0.416,0.0404569,0.0927126,-0.116408,0.0374581,-0.0388433,-0.134645,143.451,140,1.89895,-2.03819,-34.4204,0,1
0.433,0.0381732,0.0943164,-0.115321,0.0344474,-0.036547,-0.134645,144.243,140,2.1553,-2.61192,-34.689,0,1
0.451,0.0361048,0.0957147,-0.114361,0.0317205,-0.0345449,-0.134645,145.068,140,3.04641,-2.19689,-33.395,0,1
0.469,0.0342856,0.0969036,-0.113447,0.0293221,-0.0328426,-0.134645,145.819,140,2.74124,-1.48888,-32.272,0,1
0.487,0.0326487,0.0980053,-0.112476,0.0271641,-0.0312651,-0.134645,146.268,140,1.92336,-0.90294,-33.2486,0,1
0.505,0.0311788,0.0990239,-0.111526,0.0252263,-0.0298067,-0.134645,0,140,1.87454,-0.548936,-33.8589,0,1
0.524,0.029837,0.100005,-0.110622,0.0234573,-0.0284019,-0.134645,0,140,1.65481,-0.451189,-33.4195,0,1
0.542,0.0287011,0.100922,-0.109769,0.0219598,-0.027089,-0.134645,0,140,2.25295,-0.597611,-32.7603,0,1
0.562,0.0276467,0.101861,-0.108793,0.0205697,-0.0257445,-0.134645,0,140,2.20413,-0.744096,-32.98,0,1
0.579,0.0269269,0.102611,-0.107935,0.0196207,-0.0246706,-0.134645,0,140,1.80129,-0.976029,-33.7368,0,1
0.598,0.0263346,0.103311,-0.107081,0.0188399,-0.0236683,-0.134645,0,140,1.31301,-0.951615,-33.5171,0,1
0.615,0.0258875,0.103898,-0.106314,0.0182504,-0.0228279,-0.134645,0,140,0.788111,-0.426698,-33.3218,0,1
0.633,0.0255061,0.104438,-0.105573,0.0177476,-0.0220547,-0.134645,0,140,0.299771,0.24473,-33.1265,0,1
0.651,0.0251454,0.105,-0.104826,0.0172721,-0.02125,-0.134645,0,140,-0.322751,1.22126,-33.5171,0,1
0.669,0.0247387,0.105659,-0.10413,0.0167359,-0.0203064,-0.134645,0,140,-1.18944,2.06354,-33.6392,0,1
0.688,0.0242553,0.106486,-0.103459,0.0160986,-0.0191223,-0.134645,0,140,-1.2871,2.08795,-32.9556,0,1
0.707,0.0236405,0.107516,-0.102784,0.0152881,-0.0176475,-0.134645,0,140,-1.42138,2.07575,-33.0044,0,1
0.726,0.0228915,0.108706,-0.102108,0.0143006,-0.0159437,-0.134645,0,140,-2.41015,1.70954,-33.4195,0,1
0.738,0.0223346,0.109509,-0.101707,0.0135664,-0.0147939,-0.134645,0,140,-2.5078,1.39215,-33.5171,0,1
0.757,0.0212633,0.110894,-0.101087,0.0121541,-0.0128109,-0.134645,0,140,-2.34911,0.903872,-33.1021,0,1
0.775,0.0200616,0.112283,-0.100518,0.0105698,-0.0108221,-0.134645,0,140,-2.39794,1.00153,-32.9068,0,1
0.793,0.0186181,0.113779,-0.0999338,0.00866673,-0.00868007,-0.134645,0,140,-2.42235,0.867251,-33.0288,0,1
0.812,0.0169497,0.115324,-0.0993597,0.00646718,-0.00646791,-0.134645,0,140,-3.35009,0.70856,-33.5415,0,1
0.83,0.0150459,0.116934,-0.0988212,0.00395728,-0.00416268,-0.134645,0,140,-2.92284,0.659732,-33.3706,0,1
0.849,0.0128609,0.118578,-0.0983285,0.00107666,-0.00180877,-0.134645,140.187,140,-3.33788,0.110345,-33.3462,0,1
0.868,0.010444,0.120239,-0.0978357,-0.00210968,0.00056948,-0.134645,142.929,140,-2.95946,0.134718,-32.9068,0,1
0.887,0.00771055,0.12194,-0.0973226,-0.00571336,0.003005,-0.134645,145.688,140,-2.4956,-0.487793,-33.3218,0,1
0.907,0.00461783,0.123677,-0.0967842,-0.00979068,0.00549207,-0.134645,148.26,140,-2.1538,-0.695252,-33.273,0,1
0.927,0.00126082,0.125378,-0.0962406,-0.0142164,0.00792759,-0.134645,150.768,140,-1.36034,-0.683028,-33.5415,0,1
0.947,-0.00203373,0.126909,-0.0957529,-0.0185598,0.0101197,-0.134645,152.981,140,0.202161,-1.01262,-34.2495,1,1
0.968,-0.00512732,0.128252,-0.0953465,-0.0226383,0.0120426,-0.134645,154.852,140,2.06983,-1.59856,-34.0786,1,1
0.987,-0.00843279,0.129629,-0.0949604,-0.0269961,0.0140143,-0.134645,156.321,140,4.70655,-3.2343,-34.8599,1,1
1.006,-0.00902247,0.128975,-0.0948131,-0.0277735,0.0130778,-0.134645,163.531,140,2.83887,0.757402,-35.5191,1,1
1.024,-0.00897513,0.128072,-0.0949249,-0.0277111,0.0117849,-0.134645,0,140,5.58545,5.00545,-36.3247,1,1
1.041,-0.00856815,0.127476,-0.0953364,-0.0271746,0.0109315,-0.134645,0,140,6.63526,0.732988,-31.3443,1,1
1.059,-0.0073976,0.126987,-0.0955396,-0.0256314,0.0102314,-0.134645,0,140,10.6758,-5.91984,-28.3169,1,1
1.076,-0.00559767,0.126104,-0.095438,-0.0232584,0.00896709,-0.134645,0,140,11.689,-7.83635,-31.3931,1,1
1.094,-0.00290728,0.124519,-0.0951789,-0.0197115,0.00669766,-0.134645,0,140,7.27002,-5.91984,-35.1529,1,1
1.112,0.000524694,0.122494,-0.0950976,-0.0151869,0.00379823,-0.134645,0,140,2.66797,-2.29435,-38.1802,1,1
1.132,0.00451328,0.12002,-0.0954888,-0.00992851,0.000255912,-0.134645,0,140,-1.31153,0.183696,-36.7398,1,1
1.15,0.00794753,0.117841,-0.0961593,-0.00540093,-0.00286402,-0.134645,0,140,-2.75196,0.293517,-35.5923,1,1
1.167,0.0110979,0.115692,-0.0969366,-0.00124761,-0.005941,-0.134645,0,140,-7.10987,-0.609823,-27.8286,1,1
1.185,0.0137522,0.113624,-0.0975614,0.00225172,-0.008902,-0.134645,0,140,-3.05713,4.99322,-34.3472,1,1
1.202,0.0158955,0.111768,-0.0981253,0.00507736,-0.0115595,-0.134645,0,140,-11.8096,7.10503,-31.4419,1,1
1.22,0.0172305,0.110489,-0.0987552,0.00683737,-0.0133907,-0.134645,0,140,-14.1533,11.7071,-37.5699,1,1
1.237,0.0174693,0.110027,-0.0995578,0.0071522,-0.0140522,-0.134645,0,140,-16.436,12.3541,-29.3179,1,1
1.255,0.0165387,0.11047,-0.100239,0.00592533,-0.013418,-0.134645,0,140,-11.1016,11.1578,-29.7818,1,1
1.272,0.0145441,0.111767,-0.100609,0.00329573,-0.0115609,-0.134645,0,140,-10.0151,6.42144,-28.9029,1,1
1.291,0.011712,0.113673,-0.100762,-0.000438003,-0.00883184,-0.134645,147.655,140,-7.92774,4.12652,-35.5679,1,1
1.312,0.00759954,0.116298,-0.101056,-0.00585971,-0.00507332,-0.134645,146.897,140,-6.85352,2.3687,-33.3462,1,1
1.331,0.00344122,0.118882,-0.101453,-0.0113419,-0.0013735,-0.134645,147.347,140,-3.47217,2.42974,-32.2232,1,1
1.349,-0.000698216,0.12142,-0.101686,-0.0167991,0.00226046,-0.134645,148.026,140,-0.444827,0.525431,-28.7075,1,1
1.371,-0.00595469,0.124619,-0.101575,-0.0237291,0.00684084,-0.134645,148.454,140,2.65577,-1.0981,-29.8062,1,1
1.388,-0.00992916,0.127119,-0.101158,-0.0289689,0.0104204,-0.134645,148.364,140,5.04835,-2.6728,-29.4156,2,1
1.406,-0.0134858,0.12946,-0.100518,-0.0336578,0.0137723,-0.134645,147.841,140,6.80617,-2.30659,-29.6841,2,1
1.424,-0.0165174,0.131596,-0.0997102,-0.0376545,0.0168306,-0.134645,146.554,140,9.02785,-3.63715,-39.1568,2,1
1.442,-0.0190291,0.133603,-0.0988466,-0.0409659,0.0197043,-0.134645,144.529,140,6.5132,-6.17621,-30.6363,2,1
1.46,-0.0206713,0.135117,-0.0980745,-0.0431309,0.0218721,-0.134645,141.787,140,10.4683,-6.18842,-38.9859,2,1
1.478,-0.0206068,0.135188,-0.097475,-0.0430458,0.0219737,-0.134645,0,140,9.95558,-4.73578,-30.3433,2,1
1.496,-0.0194944,0.134816,-0.0968604,-0.0415793,0.0214411,-0.134645,0,140,9.89454,-1.02485,-36.9595,2,1
1.514,-0.0176861,0.134253,-0.0963066,-0.0391953,0.020635,-0.134645,0,140,8.20997,-5.15082,-31.5396,2,1
1.534,-0.0149573,0.133248,-0.0957275,-0.0355978,0.019196,-0.134645,0,140,6.74513,-7.05512,-35.7144,2,1
1.545,-0.0130357,0.132345,-0.0954532,-0.0330644,0.0179031,-0.134645,0,140,5.04835,-7.86078,-32.98,2,1
1.563,-0.00987889,0.130505,-0.0951128,-0.0289026,0.0152685,-0.134645,0,140,2.3506,-4.73578,-35.6411,2,1
1.58,-0.00645437,0.12831,-0.0948893,-0.0243878,0.0121257,-0.134645,0,140,0.0800563,-1.74506,-32.7847,2,1
1.598,-0.0031472,0.125949,-0.0947115,-0.0200278,0.00874516,-0.134645,0,140,-3.03273,1.57526,-35.1529,2,1
1.616,-1.51478e-05,0.123647,-0.094615,-0.0158986,0.00544912,-0.134645,0,140,-6.47511,3.33307,-33.1753,2,1
1.634,0.002604,0.121641,-0.0945896,-0.0124456,0.00257689,-0.134645,0,140,-9.12404,5.62799,-35.4947,2,1
1.653,0.00448233,0.120062,-0.0946963,-0.00996932,0.000316048,-0.134645,0,140,-12.1514,6.97076,-33.1265,2,1
1.671,0.00533774,0.119118,-0.0948538,-0.00884158,-0.00103559,-0.134645,0,140,-14.3975,9.33893,-31.857,2,1
