Subject,BallFreq,SL1,SL0,A0,A1
Sub202,0.5Hz,-0.20071662397208384,0.06652921896772866,0.20581161159382344,0.3825756715520326
Sub202,0.5Hz,-0.4735876524498138,0.20066120667608603,0.0034045367419068303,0.4594027618863061
Sub202,0.5Hz,0.09800057105735295,0.3203031490851624,-0.8161525863614202,-0.36855207899381665
Sub202,0.5Hz,0.12945130933510204,0.2351247354359393,-0.04309768093671756,0.08352097564667521
Sub202,0.5Hz,0.37935907895714305,-0.038574186874988016,0.32962420566706707,-0.12180001655405366
Sub202,0.5Hz,0.08367625986151822,0.24704760332846287,-0.48666656040982337,-0.22160880557654927
Sub202,0.5Hz,-0.04194896741971511,0.33961422525876445,-0.6061574173260966,-0.01798028844344981
Sub202,0.5Hz,-0.42219726099782207,0.24553920083474723,-0.9083714199462738,-0.012371114810492405
Sub202,0.5Hz,1000,0.26489533795815434,0.233730168665782,1000
Sub202,0.5Hz,1000,1000,1000,1000
Sub202,0.5Hz,1000,1000,1000,1000
Sub202,0.5Hz,1000,1000,1000,1000
Sub202,1Hz,0.4049237861470962,0.2734269303526921,0.2508791419444738,0.08534229951800502
Sub202,1Hz,0.08947097210160378,0.030980812977013723,0.3552386888968372,0.3138207982768673
Sub202,1Hz,0.29984002553013495,0.5857347569165567,-0.21429312511436183,0.28153642739869883
Sub202,1Hz,-0.18129871920414053,0.21845203772735902,0.045619839795291266,0.36858149652109407
Sub202,1Hz,0.04139301540280174,0.040722009457474506,0.21842793123606433,0.21788084623327492
Sub202,1Hz,0.07270363797590014,0.18049733179157745,-0.2088570614102854,-0.06833330516460619
Sub202,1Hz,-0.11606058797904598,-0.015109972725583863,-0.1606273597710642,-0.05564556280513637
Sub202,1Hz,-0.4863156377545067,-0.1625712356322688,-0.4111668246983511,-0.10379109080180488
Sub202,1Hz,1000,0.23240463159534347,1000,-0.4324341424450192
Sub202,1Hz,1000,1000,1000,1000
Sub202,1Hz,1000,1000,1000,1000
Sub202,1Hz,1000,1000,1000,1000
Sub202,1.5Hz,0.3579364071845799,-0.03952233643464514,0.46060093059713747,0.12669494553083693
Sub202,1.5Hz,0.32209347504611113,-0.4071375233558971,0.3152067948020937,-0.4214322761367025
Sub202,1.5Hz,0.31338652700628,0.018322882388179116,0.3591395242780372,0.08373766414014006
Sub202,1.5Hz,0.5287911789909501,0.5690696919323238,-0.014345522977772645,0.07235983450427705
Sub202,1.5Hz,-0.7125680610444493,0.11332613089072728,-0.538440039246177,0.20348007590477632
Sub202,1.5Hz,0.5290573205426214,0.08681959809415428,0.492962168555568,0.016829370331471548
Sub202,1.5Hz,0.040198924010103804,-0.640177903067814,0.07849433339461667,-0.5747359215648936
Sub202,1.5Hz,0.2964706181280238,0.05588644293947885,0.016320369200949293,-0.32006608277047305
Sub202,1.5Hz,1000,-0.2854483677463946,1000,1000
Sub202,1.5Hz,1000,1000,1000,1000
Sub202,1.5Hz,1000,1000,1000,1000
Sub202,1.5Hz,1000,1000,1000,1000
Sub202,2.5Hz,0.3366535688563061,-0.1646863978770316,0.5185692353294699,0.1547163943212012
Sub202,2.5Hz,-2.833754776194353,0.21166489714968045,-0.5899972958428574,0.6730488111724584
Sub202,2.5Hz,-1.4029684943251735,0.24123677726526202,-0.3880513833231708,0.5617078029033953
Sub202,2.5Hz,-0.4929545579979526,-0.7274436779447253,0.13119755909924258,-0.005259855952707006
Sub202,2.5Hz,0.13559885186712173,-0.02800774156031787,0.3153830926496706,0.18580455118618996
Sub202,2.5Hz,-0.7144068453383727,0.24519638110011743,-0.43401292556503956,0.3686456929935632
Sub202,2.5Hz,-1.3567695570129237,-0.578965563166237,0.1408570801507632,0.4243997762770675
Sub202,2.5Hz,-0.6489174737109509,-1.2019606570027261,-0.4199680409002102,-0.8962221033577342
Sub202,2.5Hz,1000,-1.8631607076266667,1000,1000
Sub202,2.5Hz,1000,-0.2747922366010873,1000,1000
Sub202,2.5Hz,1000,1000,1000,1000
Sub202,2.5Hz,1000,1000,1000,1000
Sub203,0.5Hz,-0.816714183346263,0.28264743516867846,-0.7810840774862527,0.29671643295500677
Sub203,0.5Hz,-0.6576524241156354,-0.4961893562738525,-0.03039447244146804,0.0699707489929194
Sub203,0.5Hz,-1.110083103895434,0.06453198796236664,0.011563230250988007,0.5617940457818908
Sub203,0.5Hz,0.34054752681379724,-0.13370558569036156,0.3724854089084263,-0.07879919470988918
Sub203,0.5Hz,-0.7235077700544912,0.08721329697425788,0.18511908792635695,0.5684310369736287
Sub203,0.5Hz,-0.3153370359875428,-0.051909967691069855,0.14336400854949558,0.3149254423500915
Sub203,0.5Hz,0.009809402744365536,-0.021752966545478664,-0.17622971137979246,-0.21372208569959375
Sub203,0.5Hz,-0.17124723597256558,-0.056338618692844115,0.012070390451534897,0.10899409871424391
Sub203,0.5Hz,0.028940478278910893,-0.03955067763042295,-0.06482210411843518,-0.1399265597336988
Sub203,0.5Hz,1000,1000,1000,1000
Sub203,0.5Hz,1000,1000,1000,1000
Sub203,0.5Hz,1000,1000,1000,1000
Sub203,1Hz,-0.11542484518980754,-0.298681358015138,0.03225788704986092,-0.12673538416715366
Sub203,1Hz,-0.20916303822074983,-0.521061898740569,-0.03864544729949482,-0.3065599644133302
Sub203,1Hz,-0.2855981644102164,0.01321420665768335,0.02792359525848776,0.25386391113722623
Sub203,1Hz,-0.2460563622225962,-0.08655586286141037,0.08689218124855651,0.20377385488463315
Sub203,1Hz,-0.017222956134448728,0.12047216512285422,-0.11988655706326268,0.03170549494393574
Sub203,1Hz,0.13333961279811107,0.19149253219552906,-0.05485586218483647,0.01592497519436033
Sub203,1Hz,0.11654088924495351,-0.1324900843932951,-0.0268751077290621,-0.3163324292615731
Sub203,1Hz,0.17333802109562965,0.07913557450790068,0.12141767361408697,0.021298632474702515
Sub203,1Hz,-0.0015961397202248085,-0.5759407652967159,-0.10775959547753912,-0.7429814627173946
Sub203,1Hz,1000,1000,1000,1000
Sub203,1Hz,1000,1000,1000,1000
Sub203,1Hz,1000,1000,1000,1000
Sub203,1.5Hz,0.36438158167311874,-0.13526622099730742,-0.03361409920935427,-0.8461188954651688
Sub203,1.5Hz,-0.056451584987045667,0.3233349123790717,-0.9733882394652088,-0.26396982591891216
Sub203,1.5Hz,-0.47286807317079277,-0.568705298543339,-0.049627652840992,-0.1179252850287963
Sub203,1.5Hz,-0.16936948038243835,0.6998411837469187,-1.3416094969435597,0.398945545851183
Sub203,1.5Hz,-0.5296128031281374,0.31002205704190544,-0.6432664938660351,0.25875513538398
Sub203,1.5Hz,0.3868143591583325,0.09015778445594194,0.2674973601888281,-0.08688426523307471
Sub203,1.5Hz,0.09519331855313475,0.6174924499961004,-0.9658705405630754,0.16892708739377005
Sub203,1.5Hz,0.5407886076955766,-0.7383858546277154,0.3915761820928901,-1.3032428558896632
Sub203,1.5Hz,0.2978759787274968,-0.295758267299063,0.2943342715782879,-0.3022944292589149
Sub203,1.5Hz,1000,1000,1000,1000
Sub203,1.5Hz,1000,1000,1000,1000
Sub203,1.5Hz,1000,1000,1000,1000
Sub203,2.5Hz,0.4631405393231152,-1.1869722248061503,0.3730679101310914,-1.55389569861409
Sub203,2.5Hz,0.7235688025139289,-0.24811006175342742,0.6000022780757173,-0.8060232924227112
Sub203,2.5Hz,0.5180409581100534,0.02520085160739746,0.2617444080560583,-0.49317858941084114
Sub203,2.5Hz,-0.5174415184214731,0.3481130499819974,-1.2472715850144553,0.034580903690353916
Sub203,2.5Hz,-0.36751750341800954,0.36901406401943077,-1.2962727511356313,-0.05952268071197214
Sub203,2.5Hz,-0.08073694283887325,-0.14872452398443062,-0.030354312192349967,-0.09517239569826032
Sub203,2.5Hz,0.7229250650502836,0.2095269396496051,0.5132590245526428,-0.38863383124003786
Sub203,2.5Hz,0.7240758039847046,0.550176301608637,0.11019556067536047,-0.4505981335535902
Sub203,2.5Hz,-0.18878970948218732,0.6910209134504663,-2.2820360778268047,0.14696392367725566
Sub203,2.5Hz,1000,1000,1000,1000
Sub203,2.5Hz,1000,1000,1000,1000
Sub203,2.5Hz,1000,1000,1000,1000
Sub208,0.5Hz,0.0057237181178062205,-0.48339694504699804,0.6191877818849973,0.4318524023131658
Sub208,0.5Hz,-0.2703003054035974,0.11267295481271775,0.4945121044223474,0.6469078383647645
Sub208,0.5Hz,0.36687364746185075,-0.5977594159797364,0.7221118798829133,0.29872077078132686
Sub208,0.5Hz,0.33469283411288336,-1.95741412965281,0.8005658119127378,0.1134779301547777
Sub208,0.5Hz,0.08283405344138375,-0.1125947414770918,0.3262769679128497,0.1827207436944896
Sub208,0.5Hz,-0.6360513252085501,-0.6628230724166239,-0.48787471309851993,-0.512221752266916
Sub208,0.5Hz,0.00014200609973444487,-0.5839956410059252,-0.31148726060423115,-1.077685147996247
Sub208,0.5Hz,0.19109575116963148,-0.2901780630268542,0.3714095185052539,-0.0025830016651066214
Sub208,0.5Hz,-0.009938856523414311,-0.13007272243682239,-0.27750250246722613,-0.4294634982682457
Sub208,0.5Hz,1000,1000,1000,1000
Sub208,0.5Hz,1000,1000,1000,1000
Sub208,0.5Hz,1000,1000,1000,1000
Sub208,1Hz,-0.09274047386307961,-0.39101703454120207,0.26430503948767264,0.06348831513401793
Sub208,1Hz,-0.13503597820590846,-0.6574038906737937,0.14797873855151644,-0.24413972841073356
Sub208,1Hz,0.03403428456599575,-1.056943611319214,0.25380133553699386,-0.5889679634773491
Sub208,1Hz,-0.17272526735431726,-0.8025336249253243,0.11682557494353932,-0.35748042798619306
