ball-in-bowl
frequency,haptic_forces,trial
3,0.0,1
3,0.0,2
3,0.0,3
3,1.0,4
3,1.0,5
3,1.0,6
1,1.0,7
1,1.0,8
1,1.0,9
1,0.0,10
1,0.0,11
1,0.0,12
0,2.0,13
0,2.0,14
0,2.0,15
0,0.0,16
0,0.0,17
0,0.0,18
2,1.0,19
2,1.0,20
2,1.0,21
2,2.0,22
2,2.0,23
2,2.0,24
stationary ball,,25
stationary ball,,26
stationary ball,,27
Mandatory 5min break
1,2.0,28
1,2.0,29
1,2.0,30
1,1.0,31
1,1.0,32
1,1.0,33
3,2.0,34
3,2.0,35
3,2.0,36
3,0.0,37
3,0.0,38
3,0.0,39
2,0.0,40
2,0.0,41
2,0.0,42
2,1.0,43
2,1.0,44
2,1.0,45
0,1.0,46
0,1.0,47
0,1.0,48
0,2.0,49
0,2.0,50
0,2.0,51
stationary ball,,52
stationary ball,,53
stationary ball,,54
Mandatory 5min break
2,2.0,55
2,2.0,56
2,2.0,57
2,0.0,58
2,0.0,59
2,0.0,60
0,0.0,61
0,0.0,62
0,0.0,63
0,1.0,64
0,1.0,65
0,1.0,66
1,0.0,67
1,0.0,68
1,0.0,69
1,2.0,70
1,2.0,71
1,2.0,72
3,1.0,73
3,1.0,74
3,1.0,75
3,2.0,76
3,2.0,77
3,2.0,78
Mandatory 5min break
nail-and-hammer
left-v-right,trial
1,1
1,2
1,3
0,4
0,5
0,6
0,7
0,8
0,9
1,10
1,11
1,12
