ball-in-bowl
frequency,haptic_forces,trial
0,2.0,1
0,2.0,2
0,2.0,3
0,0.0,4
0,0.0,5
0,0.0,6
3,0.0,7
3,0.0,8
3,0.0,9
3,1.0,10
3,1.0,11
3,1.0,12
1,1.0,13
1,1.0,14
1,1.0,15
1,0.0,16
1,0.0,17
1,0.0,18
2,2.0,19
2,2.0,20
2,2.0,21
2,1.0,22
2,1.0,23
2,1.0,24
stationary ball,,25
stationary ball,,26
stationary ball,,27
Mandatory 5min break
1,2.0,28
1,2.0,29
1,2.0,30
1,1.0,31
1,1.0,32
1,1.0,33
2,0.0,34
2,0.0,35
2,0.0,36
2,2.0,37
2,2.0,38
2,2.0,39
3,2.0,40
3,2.0,41
3,2.0,42
3,0.0,43
3,0.0,44
3,0.0,45
0,1.0,46
0,1.0,47
0,1.0,48
0,2.0,49
0,2.0,50
0,2.0,51
stationary ball,,52
stationary ball,,53
stationary ball,,54
Mandatory 5min break
3,1.0,55
3,1.0,56
3,1.0,57
3,2.0,58
3,2.0,59
3,2.0,60
0,0.0,61
0,0.0,62
0,0.0,63
0,1.0,64
0,1.0,65
0,1.0,66
2,1.0,67
2,1.0,68
2,1.0,69
2,0.0,70
2,0.0,71
2,0.0,72
1,0.0,73
1,0.0,74
1,0.0,75
1,2.0,76
1,2.0,77
1,2.0,78
Mandatory 5min break
nail-and-hammer
left-v-right,trial
1,1
1,2
1,3
0,4
0,5
0,6
1,7
1,8
1,9
0,10
0,11
0,12
