ball-in-bowl
frequency,haptic_forces,trial
3,1.0,1
3,1.0,2
3,1.0,3
3,0.0,4
3,0.0,5
3,0.0,6
0,1.0,7
0,1.0,8
0,1.0,9
0,2.0,10
0,2.0,11
0,2.0,12
2,0.0,13
2,0.0,14
2,0.0,15
2,1.0,16
2,1.0,17
2,1.0,18
1,2.0,19
1,2.0,20
1,2.0,21
1,1.0,22
1,1.0,23
1,1.0,24
stationary ball,,25
stationary ball,,26
stationary ball,,27
Mandatory 5min break
0,0.0,28
0,0.0,29
0,0.0,30
0,1.0,31
0,1.0,32
0,1.0,33
2,2.0,34
2,2.0,35
2,2.0,36
2,0.0,37
2,0.0,38
2,0.0,39
1,0.0,40
1,0.0,41
1,0.0,42
1,2.0,43
1,2.0,44
1,2.0,45
3,2.0,46
3,2.0,47
3,2.0,48
3,1.0,49
3,1.0,50
3,1.0,51
stationary ball,,52
stationary ball,,53
stationary ball,,54
Mandatory 5min break
1,1.0,55
1,1.0,56
1,1.0,57
1,0.0,58
1,0.0,59
1,0.0,60
3,0.0,61
3,0.0,62
3,0.0,63
3,2.0,64
3,2.0,65
3,2.0,66
0,2.0,67
0,2.0,68
0,2.0,69
0,0.0,70
0,0.0,71
0,0.0,72
2,1.0,73
2,1.0,74
2,1.0,75
2,2.0,76
2,2.0,77
2,2.0,78
Mandatory 5min break
nail-and-hammer
left-v-right,trial
0,1
0,2
0,3
1,4
1,5
1,6
1,7
1,8
1,9
0,10
0,11
0,12
