time, x, y, z, visx, visy, visz, mov_angle, nail_angle, fx, fy, fz, score, scoring_enabled
0,0.0830765,0.0605069,-0.133208,0.099246,-0.0993058,-0.132928,0,100,-3.14644,5.85267,-17.6301,0,0
0.0170002,0.0829381,0.060807,-0.133182,0.0990605,-0.0988947,-0.132928,0,100,-1.75484,5.047,-17.2883,0,0
0.033,0.0826338,0.0614189,-0.13301,0.0986525,-0.0980567,-0.132928,0,100,-1.37642,3.32581,-17.1418,0,0
0.0489998,0.0822255,0.0622336,-0.132725,0.0981052,-0.0969409,-0.132928,0,100,-2.37741,1.79993,-16.6779,0,0
0.0650005,0.0817264,0.0631672,-0.132354,0.0974362,-0.0956623,-0.132928,0,100,-0.851527,1.14075,-17.4592,0,0
0.0830002,0.0810969,0.0642943,-0.131851,0.0965923,-0.0941187,-0.132928,0,100,-0.973586,0.762335,-17.9719,0,0
0.1,0.0804395,0.0654211,-0.131364,0.0957111,-0.0925754,-0.132928,0,100,0.527888,1.40931,-23.5627,0,0
0.117001,0.0797479,0.0666016,-0.130927,0.094784,-0.0909587,-0.132928,0,100,-1.14447,1.95862,-20.6818,0,0
0.134,0.0789508,0.0679165,-0.130658,0.0937155,-0.0891578,-0.132928,0,100,-1.52289,2.6056,-20.4133,0,0
0.150001,0.0781448,0.0694061,-0.130444,0.0926351,-0.0871177,-0.132928,0,100,0.137278,3.4723,-15.8479,0,0
0.167,0.0772489,0.0711343,-0.130073,0.0914342,-0.0847508,-0.132928,0,100,-0.875916,3.60657,-16.4826,0,0
0.184,0.0763044,0.0731596,-0.129535,0.0901681,-0.0819771,-0.132928,116.782,100,-0.973568,4.05823,-18.6066,0,1
0.2,0.0752825,0.0754028,-0.128996,0.0887982,-0.0789048,-0.132928,115.516,100,-2.23089,3.00843,-19.9983,0,1
0.216001,0.0741946,0.0777598,-0.128534,0.0873399,-0.0756768,-0.132928,114.749,100,-1.7304,1.44593,-19.1682,0,1
0.234,0.0729106,0.0804144,-0.128016,0.0856187,-0.0720411,-0.132928,115.07,100,-0.180084,0.628047,-17.215,0,1
0.25,0.0716814,0.0828802,-0.127422,0.083971,-0.0686641,-0.132928,115.715,100,0.283779,0.0908708,-16.9465,0,1
