time, x, y, z, visx, visy, visz, mov_angle, nail_angle, fx, fy, fz, score, scoring_enabled
0,0.0831715,0.0600825,-0.133055,0.0993733,-0.099887,-0.132354,0,120,-2.2044,0.890461,-16.1897,0,0
0.0179996,0.0830744,0.0601324,-0.132867,0.0992432,-0.0998187,-0.132354,0,120,-0.629692,0.97591,-15.7746,0,0
0.0279999,0.0829354,0.0601929,-0.132639,0.0990568,-0.0997358,-0.132354,0,120,-2.79034,0.670734,-15.3108,0,0
0.0450001,0.0826765,0.0603258,-0.132121,0.0987098,-0.0995538,-0.132354,0,120,-1.13017,0.426537,-15.7258,0,0
0.0609999,0.0823686,0.0604883,-0.13142,0.098297,-0.0993312,-0.132354,0,120,0.261472,0.780498,-14.4563,0,0
0.0780001,0.0820231,0.0606667,-0.130642,0.0978339,-0.0990869,-0.132354,0,120,0.249266,-0.56229,-19.0705,0,0
0.0939999,0.0815578,0.0608672,-0.129921,0.0972102,-0.0988123,-0.132354,0,120,-3.82788,-0.672154,-21.5363,0,1
0.111,0.0810228,0.06105,-0.129449,0.096493,-0.0985619,-0.132354,0,120,0.798575,0.402072,-18.9973,0,1
0.13,0.0802995,0.0612722,-0.128783,0.0955234,-0.0982576,-0.132354,0,120,-0.531986,0.0724107,-13.5041,0,1
0.141,0.0798903,0.0614227,-0.128168,0.0949749,-0.0980515,-0.132354,0,120,-0.690674,0.646102,-15.799,0,1
0.159,0.079188,0.0616856,-0.12703,0.0940335,-0.0976914,-0.132354,0,120,-1.50854,1.3419,-17.6545,0,1
0.176,0.078376,0.0620649,-0.125862,0.092945,-0.097172,-0.132354,0,120,-3.48608,0.279882,-19.9494,0,1
0.193,0.0774561,0.0624461,-0.124821,0.0917119,-0.0966499,-0.132354,0,120,-1.00806,0.597213,-17.5324,0,1
0.21,0.0764084,0.0628713,-0.123678,0.0903075,-0.0960676,-0.132354,0,120,-0.873779,0.658217,-15.3108,0,1
0.228,0.0752604,0.0633674,-0.12222,0.0887686,-0.0953881,-0.132354,0,120,-0.214553,1.34181,-16.7024,0,1
0.245,0.0741475,0.0639093,-0.120706,0.0872768,-0.0946459,-0.132354,0,120,-0.446446,1.37843,-19.4856,0,1
0.261,0.0730384,0.0645476,-0.119243,0.08579,-0.0937717,-0.132354,0,120,-0.568492,1.20753,-20.2424,0,1
0.278,0.0718894,0.0652572,-0.117876,0.0842498,-0.0927999,-0.132354,0,120,-0.556248,0.719252,-19.1682,0,1
0.296,0.0706107,0.0661053,-0.116403,0.0825357,-0.0916384,-0.132354,0,120,-0.348654,1.37843,-16.8977,0,1
0.313,0.0694058,0.066963,-0.114935,0.0809206,-0.0904637,-0.132354,0,120,-0.678211,1.97658,-17.1174,0,1
0.33,0.0681073,0.0679912,-0.113294,0.0791799,-0.0890555,-0.132354,0,120,-1.30077,2.13527,-18.7043,0,1
0.346,0.0667928,0.0691295,-0.111704,0.0774179,-0.0874965,-0.132354,0,120,-0.836902,1.81788,-19.7541,0,1
0.365,0.0652728,0.0705384,-0.110002,0.0753803,-0.085567,-0.132354,0,120,-0.0556168,1.52492,-19.2414,0,1
0.381,0.0639254,0.0718843,-0.108509,0.0735742,-0.0837237,-0.132354,0,120,0.701202,1.26857,-18.6067,0,1
0.398,0.0625996,0.073309,-0.107005,0.0717969,-0.0817724,-0.132354,0,120,0.444822,1.52492,-18.8996,0,1
0.415,0.0613337,0.0748274,-0.105501,0.0701,-0.0796929,-0.132354,0,120,0.225004,1.47609,-20.1936,0,1
0.433,0.0599387,0.0766166,-0.103911,0.06823,-0.0772425,-0.132354,0,120,0.102901,0.9756,-20.2912,0,1
0.451,0.0586081,0.0784454,-0.102484,0.0664464,-0.0747378,-0.132354,0,120,0.0174283,0.694838,-19.51,0,1
0.468,0.0573546,0.0802248,-0.101173,0.0647661,-0.0723008,-0.132354,126.399,120,-0.226737,1.00001,-18.7287,0,1
