time, x, y, z, visx, visy, visz, mov_angle, nail_angle, fx, fy, fz, score, scoring_enabled
0,0.0834055,0.0600916,-0.133081,0.099687,0.100125,-0.131191,0,190,-0.337666,0.345321,-16.5802,0,0
0.0170002,0.083405,0.0600965,-0.132944,0.0996863,0.100132,-0.131191,0,190,-0.276576,0.467284,-16.7511,0,0
0.0349998,0.0833989,0.0601558,-0.132558,0.0996782,0.100213,-0.131191,0,190,-0.239946,0.296348,-16.1652,0,0
0.052,0.0833897,0.0602448,-0.132029,0.0996658,0.100335,-0.131191,0,190,0.822051,0.100963,-15.506,0,0
0.0689998,0.0833906,0.0603348,-0.131313,0.099667,0.100459,-0.131191,0,190,0.309348,-0.546075,-14.5782,0,0
0.086,0.0835022,0.0604412,-0.130475,0.0998166,0.100604,-0.131191,0,190,-1.90013,0.576961,-19.1681,0,0
0.102,0.0836005,0.0605763,-0.129748,0.0999484,0.100789,-0.131191,0,190,0.455844,0.454838,-19.9005,0,1
0.119,0.0837994,0.0607269,-0.129195,0.100215,0.100996,-0.131191,0,190,3.14137,0.796635,-16.4093,0,1
0.136,0.0841224,0.0609105,-0.128402,0.100648,0.101247,-0.131191,0,190,3.10475,-0.155547,-13.5773,0,1
0.152,0.0846017,0.0610656,-0.127366,0.10129,0.101459,-0.131191,0,190,-0.911368,-1.29077,-18.0939,0,1
0.168,0.0849948,0.0611167,-0.126218,0.101817,0.101529,-0.131191,0,190,-7.41772,-6.08813,-21.17,0,1
0.185,0.0850187,0.0607886,-0.125308,0.101849,0.10108,-0.131191,0,190,-14.0705,-10.7146,-23.5382,0,1
0.201,0.0840874,0.0596669,-0.124638,0.100601,0.0995438,-0.131191,0,190,-13.0452,-13.3513,-21.463,0,1
0.218,0.082185,0.0577192,-0.12417,0.0980509,0.0968763,-0.131191,0,190,-16.1091,-16.989,-21.6583,0,1
0.238,0.0787221,0.0539822,-0.123861,0.093409,0.0917582,-0.131191,227.228,190,-11.9954,-14.4622,-26.9806,0,1
0.255,0.0745802,0.0494357,-0.124196,0.0878568,0.0855315,-0.131191,227.101,190,-6.83178,-9.54272,-31.5948,0,1
0.272,0.0701648,0.0443496,-0.125517,0.081938,0.0785658,-0.131191,228.042,190,6.6692,1.28492,-32.4737,0,1
0.288,0.06642,0.0394565,-0.127076,0.0769181,0.0718644,-0.131191,229.738,190,18.0828,8.24292,-18.5821,0,1
