system_time, x, y, z 
0.345993,-0.00705239,0.0494624,-0.125862
0.459991,-0.0111593,0.0490252,-0.121021
0.572998,-0.015997,0.048391,-0.115194
0.686996,-0.0214236,0.0476724,-0.108295
0.801987,-0.0273691,0.0467284,-0.100467
0.912994,-0.0335794,0.0456716,-0.09239
1.028,-0.0406488,0.0444688,-0.0834288
1.14099,-0.0481406,0.0431951,-0.0736702
1.25099,-0.0557524,0.0418334,-0.0629717
1.36299,-0.0632864,0.0404486,-0.0518312
1.47699,-0.0703689,0.0391357,-0.0403555
1.59,-0.0764511,0.0379741,-0.0290271
1.702,-0.0816549,0.0369039,-0.017846
1.812,-0.0861226,0.0359199,-0.0069088
1.92499,-0.0902736,0.0350387,0.0044196
2.03899,-0.0947187,0.0343128,0.0158394
2.14999,-0.100238,0.0335592,0.026924
2.26199,-0.10708,0.0327167,0.0381102
2.37199,-0.114776,0.0320331,0.0491439
2.48698,-0.122273,0.0319478,0.0606196
2.601,-0.127472,0.0331548,0.0719938
2.714,-0.128853,0.0360474,0.0832714
2.82399,-0.126997,0.0406307,0.090866
2.93401,-0.124107,0.0455975,0.094554
3.04601,-0.121513,0.0506753,0.0967232
3.157,-0.120594,0.0552968,0.0967283
3.27498,-0.12099,0.0595706,0.0967334
3.38799,-0.122237,0.0631346,0.0967334
3.50499,-0.123591,0.0663973,0.0967334
3.618,-0.124274,0.0690697,0.0967283
3.73198,-0.124287,0.0711881,0.0967283
3.84499,-0.124203,0.0725866,0.0967283
3.95699,-0.124284,0.0733238,0.0967232
4.06801,-0.124269,0.0734589,0.0967232
4.18098,-0.124272,0.0733426,0.0967232
4.30199,-0.124257,0.0732959,0.0967232
4.41899,-0.124148,0.073238,0.0967232
4.53499,-0.123859,0.0732679,0.0967232
4.64998,-0.12409,0.0732095,0.0967232
4.76299,-0.124364,0.0731233,0.0967181
4.87898,-0.124483,0.0730968,0.0967181
4.99098,-0.124486,0.0731159,0.0967181
5.10799,-0.124618,0.0731298,0.0967181
5.22099,-0.124704,0.0731196,0.0967181
5.334,-0.124655,0.0731325,0.0967181
5.44798,-0.123861,0.0733071,0.0967181
5.56398,-0.120425,0.0738666,0.0967181
5.679,-0.114303,0.0747732,0.0967181
5.79298,-0.109263,0.0760284,0.0967181
5.907,-0.109398,0.0772425,0.0967181
6.02098,-0.112628,0.0788803,0.0967181
6.13499,-0.114573,0.0815524,0.0941273
6.24901,-0.114832,0.0850082,0.0830834
6.36198,-0.114765,0.0882761,0.0717601
6.47398,-0.115147,0.0903046,0.0605739
6.589,-0.115315,0.0909976,0.0491033
6.70399,-0.114093,0.0904829,0.0376276
6.81599,-0.111521,0.0892237,0.02635
6.93001,-0.107642,0.0875226,0.014986
7.045,-0.103518,0.085535,0.00552704
7.15898,-0.100067,0.0831435,0.00225044
7.27498,-0.0979851,0.0802002,0.00740664
7.39,-0.0976673,0.076931,0.0178918
